,Frame,X,Y,Z
0,0,0.01467248,-0.009289828,0.60531563
2,1,0.01467248,-0.009289828,0.60531563
4,2,0.01467248,-0.009289828,0.60531563
6,3,0.01467248,-0.009289828,0.60531563
8,4,0.01467248,-0.009289828,0.60531563
10,5,0.014663894,-0.009284656,0.60496144
12,6,0.014663894,-0.009284656,0.60496144
14,7,0.014663894,-0.009284656,0.60496144
16,8,0.014663252,-0.0094369708,0.60495982
18,9,0.014663252,-0.0094369708,0.60495982
20,10,0.014663252,-0.0094369708,0.60495982
22,11,0.014663252,-0.0094369708,0.60495982
24,12,0.014663252,-0.0094369708,0.60495982
26,13,0.014663252,-0.0094369708,0.60495982
28,14,0.014663252,-0.0094369708,0.60495982
30,15,0.014663252,-0.0094369708,0.60495982
32,16,0.014663252,-0.0094369708,0.60495982
34,17,0.014663741,-0.0095962841,0.60495683
36,18,0.014663741,-0.0095962841,0.60495683
38,19,0.014663741,-0.0095962841,0.60495683
40,20,0.014663741,-0.0095962841,0.60495683
42,21,0.014663741,-0.0095962841,0.60495683
44,22,0.014663741,-0.0095962841,0.60495683
46,23,0.014663741,-0.0095962841,0.60495683
48,24,0.01465516,-0.0095909788,0.60460285
50,25,0.01465516,-0.0095909788,0.60460285
52,26,0.01495646,-0.0095890951,0.60445006
54,27,0.01495646,-0.0095890951,0.60445006
56,28,0.01495646,-0.0095890951,0.60445006
58,29,0.01495646,-0.0095890951,0.60445006
60,30,0.014955862,-0.0097412806,0.60444848
62,31,0.014955862,-0.0097412806,0.60444848
64,32,0.014955862,-0.0097412806,0.60444848
66,33,0.014955862,-0.0097412806,0.60444848
68,34,0.014955862,-0.0097412806,0.60444848
70,35,0.014955862,-0.0097412806,0.60444848
72,36,0.014955862,-0.0097412806,0.60444848
74,37,0.014955862,-0.0097412806,0.60444848
76,38,0.014955862,-0.0097412806,0.60444848
78,39,0.014956309,-0.0099004652,0.60444546
80,40,0.014956309,-0.0099004652,0.60444546
82,41,0.014956309,-0.0099004652,0.60444546
84,42,0.014956309,-0.0099004652,0.60444546
86,43,0.01494756,-0.0098950306,0.60409194
88,44,0.01494756,-0.0098950306,0.60409194
90,45,0.01494756,-0.0098950306,0.60409194
92,46,0.01494756,-0.0098950306,0.60409194
94,47,0.01494756,-0.0098950306,0.60409194
96,48,0.01494756,-0.0098950306,0.60409194
98,49,0.01494756,-0.0098950306,0.60409194
100,50,0.01494756,-0.0098950306,0.60409194
102,51,0.01494756,-0.0098950306,0.60409194
104,52,0.01494756,-0.0098950306,0.60409194
106,53,0.014947007,-0.010047124,0.6040904
108,54,0.014947007,-0.010047124,0.6040904
110,55,0.014947007,-0.010047124,0.6040904
112,56,0.014947007,-0.010047124,0.6040904
114,57,0.014947007,-0.010047124,0.6040904
116,58,0.014947007,-0.010047124,0.6040904
118,59,0.014947007,-0.010047124,0.6040904
120,60,0.014947413,-0.010206261,0.60408734
122,61,0.014947413,-0.010206261,0.60408734
124,62,0.014938669,-0.010200694,0.60373401
126,63,0.014938669,-0.010200694,0.60373401
128,64,0.014938669,-0.010200694,0.60373401
130,65,0.014938669,-0.010200694,0.60373401
132,66,0.014938669,-0.010200694,0.60373401
134,67,0.014938669,-0.010200694,0.60373401
136,68,0.014938669,-0.010200694,0.60373401
138,69,0.014938669,-0.010200694,0.60373401
140,70,0.014938669,-0.010200694,0.60373401
142,71,0.014938669,-0.010200694,0.60373401
144,72,0.014938669,-0.010200694,0.60373401
146,73,0.014938669,-0.010200694,0.60373401
148,74,0.014938669,-0.010200694,0.60373401
150,75,0.014938669,-0.010200694,0.60373401
152,76,0.014938161,-0.010352694,0.60373252
154,77,0.014938161,-0.010352694,0.60373252
156,78,0.014938161,-0.010352694,0.60373252
158,79,0.014938161,-0.010352694,0.60373252
160,80,0.014938161,-0.010352694,0.60373252
162,81,0.014938161,-0.010352694,0.60373252
164,82,0.014929787,-0.010506084,0.60337629
166,83,0.014929787,-0.010506084,0.60337629
168,84,0.014929787,-0.010506084,0.60337629
170,85,0.014929787,-0.010506084,0.60337629
172,86,0.014929787,-0.010506084,0.60337629
174,87,0.014929787,-0.010506084,0.60337629
176,88,0.014929787,-0.010506084,0.60337629
178,89,0.014929787,-0.010506084,0.60337629
180,90,0.014929787,-0.010506084,0.60337629
182,91,0.014929787,-0.010506084,0.60337629
184,92,0.014929787,-0.010506084,0.60337629
186,93,0.014929787,-0.010506084,0.60337629
188,94,0.014929787,-0.010506084,0.60337629
190,95,0.014929787,-0.010506084,0.60337629
192,96,0.014929787,-0.010506084,0.60337629
194,97,0.014929787,-0.010506084,0.60337629
196,98,0.014628544,-0.010660254,0.60352679
198,99,0.014628544,-0.010660254,0.60352679
200,100,0.014628544,-0.010660254,0.60352679
202,101,0.014628544,-0.010660254,0.60352679
204,102,0.014620307,-0.010813541,0.60317044
206,103,0.014620307,-0.010813541,0.60317044
208,104,0.014920913,-0.010811202,0.60301876
210,105,0.014920913,-0.010811202,0.60301876
212,106,0.014920913,-0.010811202,0.60301876
214,107,0.014920913,-0.010811202,0.60301876
216,108,0.014920913,-0.010811202,0.60301876
218,109,0.014920913,-0.010811202,0.60301876
220,110,0.014920913,-0.010811202,0.60301876
222,111,0.014920913,-0.010811202,0.60301876
224,112,0.014920913,-0.010811202,0.60301876
226,113,0.014920913,-0.010811202,0.60301876
228,114,0.014920913,-0.010811202,0.60301876
230,115,0.014920913,-0.010811202,0.60301876
232,116,0.014920913,-0.010811202,0.60301876
234,117,0.014920913,-0.010811202,0.60301876
236,118,0.014920913,-0.010811202,0.60301876
238,119,0.014920913,-0.010811202,0.60301876
240,120,0.014920913,-0.010811202,0.60301876
242,121,0.014920913,-0.010811202,0.60301876
244,122,0.015221368,-0.010808865,0.60286716
246,123,0.015221368,-0.010808865,0.60286716
248,124,0.015212048,-0.010954727,0.60251326
250,125,0.015212048,-0.010954727,0.60251326
252,126,0.015212048,-0.010954727,0.60251326
254,127,0.01521233,-0.011113598,0.60251011
256,128,0.01521233,-0.011113598,0.60251011
258,129,0.01521233,-0.011113598,0.60251011
260,130,0.01521233,-0.011113598,0.60251011
262,131,0.01521233,-0.011113598,0.60251011
264,132,0.01521233,-0.011113598,0.60251011
266,133,0.01521233,-0.011113598,0.60251011
268,134,0.01521233,-0.011113598,0.60251011
270,135,0.01521233,-0.011113598,0.60251011
272,136,0.01521233,-0.011113598,0.60251011
274,137,0.01521233,-0.011113598,0.60251011
276,138,0.01521233,-0.011113598,0.60251011
278,139,0.01521233,-0.011113598,0.60251011
280,140,0.01521233,-0.011113598,0.60251011
282,141,0.01521233,-0.011113598,0.60251011
284,142,0.01521233,-0.011113598,0.60251011
286,143,0.01521233,-0.011113598,0.60251011
288,144,0.015203434,-0.011107639,0.60215781
290,145,0.015203434,-0.011107639,0.60215781
292,146,0.015203434,-0.011107639,0.60215781
294,147,0.015203059,-0.011259236,0.60215644
296,148,0.015203059,-0.011259236,0.60215644
298,149,0.015203059,-0.011259236,0.60215644
300,150,0.015203301,-0.011418059,0.60215326
302,151,0.015203301,-0.011418059,0.60215326
304,152,0.015203301,-0.011418059,0.60215326
306,153,0.015203301,-0.011418059,0.60215326
308,154,0.015203301,-0.011418059,0.60215326
310,155,0.015203301,-0.011418059,0.60215326
312,156,0.015203301,-0.011418059,0.60215326
314,157,0.015203301,-0.011418059,0.60215326
316,158,0.015203301,-0.011418059,0.60215326
318,159,0.015203301,-0.011418059,0.60215326
320,160,0.015203301,-0.011418059,0.60215326
322,161,0.015203301,-0.011418059,0.60215326
324,162,0.015203301,-0.011418059,0.60215326
326,163,0.015203301,-0.011418059,0.60215326
328,164,0.01519441,-0.011411968,0.60180115
330,165,0.01519441,-0.011411968,0.60180115
332,166,0.01519441,-0.011411968,0.60180115
334,167,0.01519441,-0.011411968,0.60180115
336,168,0.01519441,-0.011411968,0.60180115
338,169,0.01519408,-0.011563472,0.60179983
340,170,0.01519408,-0.011563472,0.60179983
342,171,0.01519408,-0.011563472,0.60179983
344,172,0.015194281,-0.011722249,0.6017966
346,173,0.015194281,-0.011722249,0.6017966
348,174,0.015194281,-0.011722249,0.6017966
350,175,0.015194281,-0.011722249,0.6017966
352,176,0.015194281,-0.011722249,0.6017966
354,177,0.015194281,-0.011722249,0.6017966
356,178,0.015194281,-0.011722249,0.6017966
358,179,0.015194281,-0.011722249,0.6017966
360,180,0.015194281,-0.011722249,0.6017966
362,181,0.015194281,-0.011722249,0.6017966
364,182,0.015194281,-0.011722249,0.6017966
366,183,0.015194281,-0.011722249,0.6017966
368,184,0.015194281,-0.011722249,0.6017966
370,185,0.015194281,-0.011722249,0.6017966
372,186,0.015185395,-0.011716026,0.60144469
374,187,0.015185395,-0.011716026,0.60144469
376,188,0.015185395,-0.011716026,0.60144469
378,189,0.015185395,-0.011716026,0.60144469
380,190,0.015185395,-0.011716026,0.60144469
382,191,0.015185395,-0.011716026,0.60144469
384,192,0.015185395,-0.011716026,0.60144469
386,193,0.015185395,-0.011716026,0.60144469
388,194,0.015185395,-0.011716026,0.60144469
390,195,0.01518527,-0.012026168,0.60144015
392,196,0.01518527,-0.012026168,0.60144015
394,197,0.01518527,-0.012026168,0.60144015
396,198,0.01518527,-0.012026168,0.60144015
398,199,0.01518527,-0.012026168,0.60144015
400,200,0.01518527,-0.012026168,0.60144015
402,201,0.01518527,-0.012026168,0.60144015
404,202,0.01518527,-0.012026168,0.60144015
406,203,0.01518527,-0.012026168,0.60144015
408,204,0.01518527,-0.012026168,0.60144015
410,205,0.01518527,-0.012026168,0.60144015
412,206,0.01518527,-0.012026168,0.60144015
