Frame num,cyy,yy(vert),xx (horiz),Intensity
3073,255,129,345,66
3072,255,129,345,69
3071,255,129,345,67
3070,255,129,345,80
3069,255,129,345,70
3068,255,129,345,69
3067,255,129,345,72
3066,255,129,345,80
3065,255,129,345,71
3064,254,130,345,71
3063,254,130,345,69
3062,254,130,345,82
3061,254,130,345,98
3060,254,130,345,85
3059,254,130,345,82
3058,254,130,345,67
3057,254,130,345,83
3056,254,130,345,83
3055,254,130,345,85
3054,254,130,345,85
3053,254,130,345,82
3052,254,130,345,84
3051,254,130,345,83
3050,254,130,345,87
3049,254,130,345,72
3048,254,130,345,74
3047,254,130,345,73
3046,254,130,345,71
3045,254,130,345,71
3044,254,130,345,73
3043,254,130,345,73
3042,254,130,345,91
3041,254,130,345,87
3040,254,130,345,88
3039,254,130,345,87
3038,254,130,345,88
3037,254,130,345,92
3036,254,130,345,92
3035,254,130,345,86
3034,254,130,345,89
3033,254,130,345,101
3032,254,130,345,85
3031,254,130,345,102
3030,254,130,345,104
3029,254,130,345,107
3028,254,130,345,107
3027,254,130,345,101
3026,253,131,345,107
3025,253,131,345,103
3024,253,131,345,107
3023,253,131,345,108
3022,253,131,345,107
3021,253,131,345,110
3020,253,131,345,109
3019,253,131,345,107
3018,253,131,345,94
3017,253,131,345,96
3016,253,131,345,96
3015,253,131,345,96
3014,253,131,345,96
3013,253,131,345,95
3012,253,131,345,80
3011,253,131,345,81
3010,253,131,345,94
3009,253,131,345,86
3008,253,131,345,84
3007,253,131,345,82
3006,253,131,345,81
3005,253,131,345,84
3004,253,131,345,84
3003,253,131,345,92
3002,253,131,345,98
3001,253,131,345,96
3000,253,131,345,100
2999,253,131,345,97
2998,253,131,345,114
2997,253,131,345,99
2996,253,131,345,109
2995,253,131,345,111
2994,253,131,345,118
2993,253,131,345,119
2992,253,131,345,109
2991,253,131,345,120
2990,253,131,345,113
2989,253,131,345,120
2988,252,132,345,122
2987,252,132,345,121
2986,253,131,345,121
2985,252,132,345,122
2984,252,132,345,123
2983,252,132,345,117
2982,252,132,345,120
2981,252,132,345,122
2980,252,132,345,122
2979,252,132,345,120
2978,252,132,345,120
2977,252,132,345,118
2976,252,132,345,113
2975,252,132,345,117
2974,252,132,345,116
2973,252,132,345,88
2972,252,132,344,101
2971,252,132,344,90
2970,252,132,345,90
2969,252,132,344,104
2968,252,132,344,93
2967,252,132,345,91
2966,252,132,344,94
2965,252,132,344,86
2964,252,132,344,104
2963,252,132,344,126
2962,252,132,344,121
2961,252,132,344,121
2960,252,132,344,125
2959,252,132,344,120
2958,252,132,344,125
2957,252,132,344,124
2956,252,132,344,130
2955,252,132,344,130
2954,252,132,344,129
2953,252,132,344,125
2952,252,132,344,127
2951,252,132,344,127
2950,252,132,344,131
2949,252,132,344,130
2948,251,133,344,131
2947,251,133,344,125
2946,251,133,344,130
2945,251,133,344,129
2944,251,133,344,127
2943,251,133,344,126
2942,251,133,344,131
2941,251,133,344,128
2940,251,133,344,126
2939,251,133,344,124
2938,251,133,344,122
2937,251,133,344,112
2936,251,133,344,109
2935,251,133,344,123
2934,251,133,344,109
2933,251,133,344,108
2932,251,133,344,112
2931,251,133,344,111
2930,251,133,344,113
2929,251,133,344,100
2928,251,133,344,100
2927,251,133,344,94
2926,251,133,344,111
2925,251,133,344,93
2924,251,133,344,119
2923,251,133,344,117
2922,251,133,344,115
2921,251,133,344,115
2920,251,133,344,133
2919,251,133,344,116
2918,251,133,344,135
2917,251,133,344,136
2916,251,133,344,141
2915,251,133,344,141
2914,251,133,344,137
2913,251,133,344,138
2912,251,133,344,141
2911,251,133,344,134
2910,250,134,344,132
2909,250,134,344,138
2908,250,134,344,134
2907,250,134,344,133
2906,250,134,344,138
2905,250,134,344,134
2904,250,134,344,135
2903,250,134,344,130
2902,250,134,344,137
2901,250,134,344,135
2900,250,134,344,134
2899,250,134,344,116
2898,250,134,344,116
2897,250,134,344,116
2896,250,134,344,116
2895,250,134,344,115
2894,250,134,344,113
2893,250,134,344,117
2892,250,134,344,125
2891,250,134,344,128
2890,250,134,344,127
2889,250,134,344,113
2888,250,134,344,119
2887,250,134,344,119
2886,250,134,344,120
2885,250,134,344,121
2884,250,134,344,119
2883,250,134,344,121
2882,250,134,344,136
2881,250,134,344,124
2880,250,134,344,125
2879,250,134,344,136
2878,250,134,344,137
2877,250,134,344,122
2876,250,134,344,119
2875,250,134,344,143
2874,250,134,344,145
2873,249,135,344,144
2872,249,135,344,139
2871,249,135,344,141
2870,249,135,344,126
2869,249,135,344,136
2868,249,135,344,132
2867,249,135,344,136
2866,249,135,344,136
2865,249,135,344,132
2864,249,135,344,139
2863,249,135,344,129
2862,249,135,344,143
2861,249,135,344,130
2860,249,135,344,133
2859,249,135,344,130
2858,249,135,344,131
2857,249,135,344,128
2856,249,135,344,125
2855,249,135,344,125
2854,249,135,344,131
2853,249,135,344,131
2852,249,135,344,128
2851,249,135,344,136
2850,249,135,344,137
2849,249,135,344,135
2848,249,135,344,136
2847,249,135,344,120
2846,249,135,344,138
2845,249,135,344,140
2844,249,135,344,143
2843,249,135,344,127
2842,249,135,344,143
2841,249,135,344,129
2840,249,135,344,149
2839,249,135,344,150
2838,249,135,344,151
2837,249,135,344,150
2836,248,136,344,154
2835,248,136,344,152
2834,248,136,344,146
2833,248,136,344,146
2832,248,136,344,146
2831,248,136,344,162
2830,248,136,344,139
2829,248,136,344,149
2828,248,136,344,139
2827,248,136,344,136
2826,248,136,344,132
2825,248,136,344,138
2824,248,136,344,150
2823,248,136,344,148
2822,248,136,344,133
2821,248,136,344,133
2820,248,136,344,147
2819,248,136,344,147
2818,248,136,344,150
2817,248,136,344,132
2816,248,136,344,135
2815,248,136,344,142
2814,248,136,344,137
2813,248,136,344,141
2812,248,136,344,136
2811,248,136,344,141
2810,248,136,344,143
2809,248,136,344,162
2808,248,136,344,167
2807,248,136,344,161
2806,248,136,344,166
2805,248,136,344,170
2804,248,136,344,168
2803,248,136,344,172
2802,248,136,344,170
2801,248,136,344,171
2800,247,137,344,181
2799,247,137,344,181
2798,247,137,344,174
2797,247,137,344,179
2796,247,137,344,173
2795,247,137,344,173
2794,247,137,344,176
2793,247,137,344,172
2792,247,137,344,168
2791,247,137,344,168
2790,247,137,344,169
2789,247,137,344,168
2788,247,137,344,150
2787,247,137,344,148
2786,247,137,344,152
2785,247,137,344,154
2784,247,137,344,161
2783,247,137,344,161
2782,247,137,344,164
2781,247,137,344,150
2780,247,137,344,165
2779,247,137,344,167
2778,247,137,344,177
2777,247,137,344,169
2776,247,137,344,174
2775,247,137,344,176
2774,247,137,344,182
2773,247,137,344,184
2772,247,137,344,186
2771,247,137,344,186
2770,247,137,344,189
2769,247,137,344,191
2768,247,137,344,193
2767,247,137,344,194
2766,247,137,344,192
2765,247,137,344,195
2764,246,138,343,194
2763,246,138,343,196
2762,246,138,343,193
2761,246,138,343,195
2760,246,138,343,192
2759,246,138,343,195
2758,246,138,343,191
2757,246,138,343,193
2756,246,138,343,187
2755,246,138,343,190
2754,246,138,343,188
2753,246,138,343,188
2752,246,138,343,183
2751,246,138,343,182
2750,246,138,343,193
2749,246,138,343,193
2748,246,138,343,195
2747,246,138,343,209
2746,246,138,343,175
2745,246,138,343,182
2744,246,138,343,175
2743,246,138,343,178
2742,246,138,343,184
2741,246,138,343,187
2740,246,138,343,187
2739,246,138,343,185
2738,246,138,343,186
2737,246,138,343,190
2736,246,138,343,194
2735,246,138,343,193
2734,246,138,343,200
2733,246,138,343,190
2732,246,138,343,197
2731,246,138,343,202
2730,246,138,343,198
2729,246,138,343,201
2728,245,139,343,199
2727,245,139,343,200
2726,245,139,343,195
2725,245,139,343,198
2724,245,139,343,194
2723,245,139,343,195
2722,245,139,343,190
2721,245,139,343,194
2720,245,139,343,185
2719,245,139,343,188
2718,245,139,343,190
2717,245,139,343,199
2716,245,139,343,209
2715,245,139,343,190
2714,245,139,343,200
2713,245,139,343,184
2712,245,139,343,185
2711,245,139,343,196
2710,245,139,343,182
2709,245,139,343,182
2708,245,139,343,170
2707,245,139,343,181
2706,245,139,343,195
2705,245,139,343,187
2704,245,139,343,198
2703,245,139,343,187
2702,245,139,343,205
2701,245,139,343,208
2700,245,139,343,209
2699,245,139,343,212
2698,245,139,343,209
2697,245,139,343,201
2696,245,139,343,198
2695,245,139,343,225
2694,245,139,343,215
2693,244,140,343,216
2692,244,140,343,232
2691,244,140,343,229
2690,244,140,343,216
2689,244,140,343,211
2688,244,140,343,211
2687,244,140,343,218
2686,244,140,343,209
2685,244,140,343,208
2684,244,140,343,209
2683,244,140,343,220
2682,244,140,343,214
2681,244,140,343,209
2680,244,140,343,211
2679,244,140,343,207
2678,244,140,343,213
2677,244,140,343,209
2676,244,140,343,210
2675,244,140,343,215
2674,244,140,343,216
2673,244,140,343,209
2672,244,140,343,217
2671,244,140,343,214
2670,244,140,343,219
2669,244,140,343,247
2668,244,140,343,231
2667,244,140,343,221
2666,244,140,343,228
2665,244,140,343,231
2664,244,140,343,227
2663,244,140,343,229
2662,244,140,343,229
2661,244,140,343,234
2660,244,140,343,246
2659,244,140,343,224
2658,243,141,343,218
2657,243,141,343,243
2656,243,141,343,236
2655,243,141,343,220
2654,243,141,343,238
2653,243,141,343,232
2652,243,141,343,235
2651,243,141,343,223
2650,243,141,343,246
2649,243,141,343,234
2648,243,141,343,240
2647,243,141,343,244
2646,243,141,343,246
2645,243,141,343,243
2644,243,141,343,250
2643,243,141,343,262
2642,243,141,343,247
2641,243,141,343,259
2640,243,141,343,258
2639,243,141,343,237
2638,243,141,343,234
2637,243,141,343,244
2636,243,141,343,240
2635,243,141,343,239
2634,243,141,343,244
2633,243,141,343,235
2632,243,141,343,235
2631,243,141,343,247
2630,243,141,343,244
2629,243,141,343,244
2628,243,141,343,254
2627,243,141,343,254
2626,243,141,343,252
2625,243,141,343,256
2624,242,142,343,256
2623,242,142,343,255
2622,242,142,343,255
2621,242,142,343,254
2620,242,142,343,252
2619,242,142,343,255
2618,242,142,343,253
2617,242,142,343,246
2616,242,142,343,249
2615,242,142,343,244
2614,242,142,343,267
2613,242,142,343,257
2612,242,142,343,254
2611,242,142,342,274
2610,242,142,342,274
2609,242,142,342,273
2608,242,142,342,273
2607,242,142,342,274
2606,242,142,342,273
2605,242,142,342,278
2604,242,142,342,277
2603,242,142,342,260
2602,242,142,342,280
2601,242,142,342,246
2600,242,142,342,255
2599,242,142,342,254
2598,242,142,342,259
2597,242,142,342,258
2596,242,142,342,265
2595,242,142,342,259
2594,242,142,342,270
2593,242,142,342,267
2592,242,142,342,268
2591,242,142,342,264
2590,241,143,342,264
2589,241,143,342,268
2588,241,143,342,265
2587,241,143,342,263
2586,241,143,342,258
2585,241,143,342,252
2584,241,143,342,256
2583,241,143,342,259
2582,241,143,342,262
2581,241,143,342,274
