,Left Index,Right Index,18333 X,18333 Y,18158 X,18158 Y,Epipolar
0,0,6539,226,80,317,70,0.0466626517332
1,1,7950,234,92,40,93,0.00553991034517
2,2,12569,238,112,132,110,0.0117268873259
3,3,6330,238,124,301,118,0.000730061893487
4,4,1713,254,144,279,140,0.0193618827853
5,5,12257,254,164,66,164,0.0328861040374
6,6,3637,263,131,138,129,0.00965800393918
7,7,4770,271,47,133,42,0.0127271666236
8,8,10829,299,171,211,170,0.0149231700098
9,9,1883,303,83,189,76,0.0230132418085
10,10,7388,311,99,185,93,0.0129262840756
11,11,8647,319,143,34,143,0.0346557043158
12,12,9702,228,24,289,11,0.00319959062723
13,13,11016,146,102,95,103,0.00306816602076
14,14,10847,214,166,68,166,0.0115472666349
15,15,27,230,34,55,35,0.00913828001092
16,16,10006,234,30,172,24,0.0146142489168
17,17,8900,258,174,218,173,0.00274391245682
18,18,953,286,62,193,54,0.0356742786361
19,19,11295,290,138,139,136,0.019039087091
20,20,7277,294,158,369,154,0.119257487936
21,21,12451,298,170,202,169,0.015917492425
22,22,11681,318,142,292,137,0.00556509635618
23,23,2078,362,22,71,15,0.00169985280114
24,24,650,170,91,85,92,0.00168958984564
25,25,11649,218,155,212,153,0.0138466843315
26,26,11999,230,11,166,5,0.0263187007131
27,27,2179,234,7,40,9,0.0424726182698
28,28,11363,238,91,146,88,0.0300513757114
29,29,418,258,15,81,13,0.00779229373405
30,30,421,258,87,101,85,0.0184359693562
31,31,463,274,35,175,27,0.00689605297793
32,32,145,274,171,201,170,0.00467750911269
33,33,7268,278,119,369,110,0.0080378405527
34,34,11637,286,7,116,1,0.110132743935
35,35,3357,286,135,137,133,0.0729369639025
36,36,3007,290,51,62,49,0.000496809398873
37,37,5762,290,87,257,78,0.00812899735002
38,38,222,302,119,206,114,0.0264635778887
39,39,1774,302,159,291,156,0.000657940027584
40,40,604,310,131,286,125,0.0189291668497
41,41,9133,314,87,9,87,0.00462145102568
42,42,11713,318,23,206,10,0.0068886360062
43,43,8733,318,31,133,23,0.00903319677446
44,44,7844,322,19,182,7,0.00217288052864
45,45,5547,322,131,237,126,0.0418539996731
46,46,3652,330,15,1,14,0.180458911136
47,47,8717,334,23,49,19,0.000424903458591
48,48,1036,334,87,196,79,0.010690994412
49,49,11137,338,11,112,2,0.170064309047
50,50,5847,338,31,265,14,0.00810234411157
51,51,3452,342,119,73,117,0.0014824146975
52,52,11137,284,8,112,2,0.305194136847
53,53,9689,284,52,281,39,0.0436291057959
54,54,11637,300,8,116,1,0.0761436550024
55,55,8775,316,48,226,36,0.0046597901032
56,56,10272,324,20,181,8,0.0203729432197
57,57,6052,332,28,281,10,0.0262958797041
58,58,401,336,24,159,13,0.00755239685925
59,59,3901,340,52,21,50,0.0190282776336
60,60,9816,348,36,333,15,0.00770722067878
61,61,740,238,29,100,27,0.00413161433486
62,62,459,266,109,111,107,0.0126903168855
63,63,10445,322,177,305,176,0.0117573053846
64,64,8895,334,25,178,13,0.00298785061205
65,65,1860,207,95,86,95,0.00417198709298
66,66,7544,211,99,112,98,0.00282252956302
67,67,2189,211,123,156,121,0.0486001916298
68,68,9110,259,91,184,86,0.0251384451263
69,69,6824,259,107,337,98,0.0482914426698
70,70,2502,263,23,159,16,0.00566745785218
71,71,4859,275,67,145,62,0.0160952669994
