,XR,YR
0,494.645202637,444.27911377
1,472.402069092,421.425140381
2,466.00869751,414.354736328
3,466.00869751,414.354736328
4,464.490020752,424.905395508
5,473.017730713,417.572906494
6,459.766174316,432.504455566
7,475.424530029,469.365783691
8,475.424530029,469.365783691
