,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,254,0,2726,1344,46.0,150.019021739,116.890231621,120.043478261,64.9223880597,109.015122873,9.9223880597,54.0396975425,395,112.699823567,156.237199094,0
1,254,1,2726,3176,46.0,150.019021739,116.890231621,120.043478261,152.0,173.828865979,50.8384615385,81.9292682927,2220,82.7404343398,96.7449964039,0
2,254,2,2726,4689,46.0,150.019021739,116.890231621,120.043478261,168.0,215.102857143,49.9962264151,157.104477612,2724,60.9009672501,113.463832895,0
3,254,3,2726,3091,46.0,150.019021739,116.890231621,120.043478261,98.8214676889,128.077894737,55.9465811966,76.1221052632,2135,127.144721663,113.191778632,0
4,254,6,2726,4702,46.0,150.019021739,116.890231621,120.043478261,214.0,271.915129151,92.9920948617,166.079389313,2726,156.830479825,17.040542574,386
5,254,15,2726,4707,46.0,150.019021739,116.890231621,120.043478261,111.019767442,248.037878788,130.083333333,228.915151515,2726,145.522211431,140.3568486,0
6,254,73,2726,3941,46.0,150.019021739,116.890231621,120.043478261,192.017456359,235.190839695,0.717557251908,81.0573566085,2706,107.101824178,170.878654729,0
7,254,202,2726,1904,46.0,150.019021739,116.890231621,120.043478261,167.0,196.898799314,81.0,119.037735849,1241,18.4799044633,31.5563706496,128
8,254,222,2726,2183,46.0,150.019021739,116.890231621,120.043478261,90.0,108.994614004,71.0,81.9838420108,1560,26.7171414528,89.4490222394,0
9,254,241,2726,2597,46.0,150.019021739,116.890231621,120.043478261,28.8591549296,77.056022409,68.0795724466,78.1151079137,1993,80.7013181486,100.564674542,0
10,254,259,2726,3319,46.0,150.019021739,116.890231621,120.043478261,54.0,97.0564705882,25.0,95.2062146893,2706,40.6457146301,121.66494006,0
11,254,288,2726,3252,46.0,150.019021739,116.890231621,120.043478261,52.1194029851,107.058823529,101.925396825,113.0,2726,58.8446893084,28.6926489214,0
12,254,292,2726,3170,46.0,150.019021739,116.890231621,120.043478261,187.0,203.843881857,0.733333333333,76.1788235294,2726,45.338614754,176.728011121,0
13,254,318,2726,2574,46.0,150.019021739,116.890231621,120.043478261,145.085178876,165.0,78.0866372981,108.0,2499,36.8001611638,60.2757294645,0
14,254,327,2726,2039,46.0,150.019021739,116.890231621,120.043478261,39.0,71.1165644172,83.8888888889,92.9625212947,1990,23.4932276838,68.5650259972,0
15,254,329,2726,3786,46.0,150.019021739,116.890231621,120.043478261,224.0,269.108108108,182.098360656,186.948497854,2717,42.485203926,137.576676089,0
16,254,339,2726,1270,46.0,150.019021739,116.890231621,120.043478261,199.911764706,213.075949367,103.0,120.12378902,1261,38.9986284982,15.0911356627,245
17,254,344,2726,3252,46.0,150.019021739,116.890231621,120.043478261,6.0,102.070021882,119.042510121,124.857142857,2715,30.7270558678,0.540969572838,2715
18,254,358,2726,3092,46.0,150.019021739,116.890231621,120.043478261,145.868852459,168.928186715,47.9577464789,102.84021544,2648,39.5787770376,110.377552294,0
19,254,388,2726,2391,46.0,150.019021739,116.890231621,120.043478261,5.11627906977,61.0889423077,85.0,96.8643326039,2390,28.9187206179,68.137455971,0
20,254,390,2726,3282,46.0,150.019021739,116.890231621,120.043478261,173.847750865,191.0,124.017301038,157.0,2562,39.3781718281,44.0334719271,0
21,254,394,2726,3166,46.0,150.019021739,116.890231621,120.043478261,232.143769968,255.84375,185.223300971,209.0,2542,63.8042020126,165.202615567,0
22,254,446,2726,2863,46.0,150.019021739,116.890231621,120.043478261,0.729166666667,99.1276102088,73.2299465241,104.861915367,2431,87.1015974091,81.6086387285,0
23,254,469,2726,3104,46.0,150.019021739,116.890231621,120.043478261,67.0895522388,107.181818182,148.018181818,267.909090909,2273,44.7806499495,230.553609468,0
24,254,502,2726,1479,46.0,150.019021739,116.890231621,120.043478261,112.987012987,129.933463796,58.8538961039,74.0642570281,1479,91.3390301302,106.636034713,0
25,254,512,2726,1009,46.0,150.019021739,116.890231621,120.043478261,139.87037037,156.947688564,55.0,73.201183432,1009,52.3506038941,110.628062502,0
26,254,520,2726,2905,46.0,150.019021739,116.890231621,120.043478261,227.947712418,272.04250797,71.921360255,137.833333333,2197,43.0322305396,63.9360971409,0
27,254,566,2726,1802,46.0,150.019021739,116.890231621,120.043478261,66.0,98.2369477912,111.021996616,114.107692308,1802,64.9544981722,13.7786839302,0
28,254,582,2726,2806,46.0,150.019021739,116.890231621,120.043478261,114.056768559,183.920585162,143.119834711,188.086956522,1968,44.7684100983,117.824240017,0
29,254,583,2726,1524,46.0,150.019021739,116.890231621,120.043478261,270.928695652,289.911764706,49.1333333333,79.1147826087,1524,61.4917117967,102.321248531,0
30,254,594,2726,2319,46.0,150.019021739,116.890231621,120.043478261,41.9090909091,99.8909090909,89.0833333333,109.158878505,1952,69.7270075224,46.7940554574,0
31,254,595,2726,2038,46.0,150.019021739,116.890231621,120.043478261,267.861842105,307.038461538,104.063492063,129.962719298,1944,56.0224929712,13.1983159361,262
32,254,598,2726,2850,46.0,150.019021739,116.890231621,120.043478261,111.934782609,165.09375,142.814655172,224.949037373,1948,56.5262350386,192.93058328,0
33,254,607,2726,2819,46.0,150.019021739,116.890231621,120.043478261,214.917112299,235.0,54.0,142.09375,1950,63.924933675,91.2031801509,0
34,254,608,2726,1908,46.0,150.019021739,116.890231621,120.043478261,182.904153355,187.911111111,65.0,87.1424050633,1889,85.1018856635,85.4103723989,0
35,254,614,2726,2636,46.0,150.019021739,116.890231621,120.043478261,170.829268293,180.996521739,75.90625,112.263414634,1911,71.2581909016,61.4768716937,0
36,254,617,2726,735,46.0,150.019021739,116.890231621,120.043478261,87.8833333333,108.90397351,84.8642384106,116.0,735,77.7436532785,36.9287943093,0
37,254,619,2726,1939,46.0,150.019021739,116.890231621,120.043478261,18.0617420066,60.0512048193,48.9016393443,81.8571428571,1903,56.5686478349,118.160898764,0
38,254,620,2726,2488,46.0,150.019021739,116.890231621,120.043478261,107.99375,140.07,69.9719626168,106.089848308,1922,62.305008742,89.2199083257,0
39,254,621,2726,311,46.0,150.019021739,116.890231621,120.043478261,177.0,182.166007905,187.023715415,207.0,311,55.4266748076,161.239127453,0
40,254,622,2726,2628,46.0,150.019021739,116.890231621,120.043478261,125.890566038,227.0,103.95505618,130.188679245,1908,55.6948713232,8.9705808899,730
41,254,629,2726,2404,46.0,150.019021739,116.890231621,120.043478261,87.8833333333,106.901041667,42.0,103.8203125,1890,70.8289631651,123.35122733,0
42,254,641,2726,2270,46.0,150.019021739,116.890231621,120.043478261,260.961685824,313.00804829,68.9346076459,118.934560327,1824,72.9791972902,69.4396440762,0
43,254,648,2726,1499,46.0,150.019021739,116.890231621,120.043478261,52.0,95.1123188406,36.9479166667,52.0507246377,1499,75.6749221849,161.613620493,0
44,254,678,2726,994,46.0,150.019021739,116.890231621,120.043478261,210.215053763,212.103448276,19.0,39.0922509225,994,88.115575072,175.482387395,0
45,254,687,2726,2231,46.0,150.019021739,116.890231621,120.043478261,177.914285714,194.212837838,22.9659090909,87.1925675676,1781,74.2262021108,170.339705194,0
46,254,702,2726,2568,46.0,150.019021739,116.890231621,120.043478261,172.065789474,228.0,84.9425287356,115.947154472,1752,77.7014981978,54.1215236236,0
47,254,709,2726,1516,46.0,150.019021739,116.890231621,120.043478261,150.901408451,166.063186813,130.813186813,147.0,1516,70.4207286894,40.3070179768,0
48,254,721,2726,2470,46.0,150.019021739,116.890231621,120.043478261,241.028806584,341.990990991,96.009009009,155.839506173,1724,67.2984492855,20.1468950796,208
49,254,725,2726,2089,46.0,150.019021739,116.890231621,120.043478261,257.020512821,309.826086957,100.91954023,141.120512821,1668,71.3414215135,12.5767922373,345
50,254,729,2726,2401,46.0,150.019021739,116.890231621,120.043478261,211.822937626,232.904109589,24.0,121.792626728,1687,81.0223117494,138.73492041,0
51,254,732,2726,1453,46.0,150.019021739,116.890231621,120.043478261,208.934210526,237.913978495,92.8494077834,107.012987013,1453,76.0884121453,34.8949686066,0
52,254,733,2726,2506,46.0,150.019021739,116.890231621,120.043478261,174.751351351,185.007575758,128.194594595,168.0,1679,82.2633323972,80.2242085471,0
