,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,12,0,3722,1344,32.0,165.038461538,104.128608924,119.0,64.9223880597,109.015122873,9.9223880597,54.0396975425,1313,56.9198140935,180.6193491,0
1,12,1,3722,3176,32.0,165.038461538,104.128608924,119.0,152.0,173.828865979,50.8384615385,81.9292682927,3145,52.2105511013,90.3997585983,0
2,12,2,3722,4689,32.0,165.038461538,104.128608924,119.0,168.0,215.102857143,49.9962264151,157.104477612,3715,52.9542263127,100.825136312,0
3,12,3,3722,3091,32.0,165.038461538,104.128608924,119.0,98.8214676889,128.077894737,55.9465811966,76.1221052632,3060,155.59970131,101.50484393,0
4,12,6,3722,4702,32.0,165.038461538,104.128608924,119.0,214.0,271.915129151,92.9920948617,166.079389313,3722,123.634173277,25.1903368526,436
5,12,15,3722,4707,32.0,165.038461538,104.128608924,119.0,111.019767442,248.037878788,130.083333333,228.915151515,3722,145.572692362,172.190256481,0
6,12,73,3722,3941,32.0,165.038461538,104.128608924,119.0,192.017456359,235.190839695,0.717557251908,81.0573566085,3650,85.4945770065,165.773579324,0
7,12,202,3722,1904,32.0,165.038461538,104.128608924,119.0,167.0,196.898799314,81.0,119.037735849,1875,46.8821564095,34.3054603233,131
8,12,222,3722,2183,32.0,165.038461538,104.128608924,119.0,90.0,108.994614004,71.0,81.9838420108,2152,38.0962324574,74.6275179856,0
9,12,241,3722,2597,32.0,165.038461538,104.128608924,119.0,28.8591549296,77.056022409,68.0795724466,78.1151079137,2566,46.9141047062,81.3870791641,0
10,12,259,3722,3319,32.0,165.038461538,104.128608924,119.0,54.0,97.0564705882,25.0,95.2062146893,3280,44.7445648521,113.276537246,0
11,12,288,3722,3252,32.0,165.038461538,104.128608924,119.0,52.1194029851,107.058823529,101.925396825,113.0,3150,35.9433222023,9.18526802765,387
12,12,292,3722,3170,32.0,165.038461538,104.128608924,119.0,187.0,203.843881857,0.733333333333,76.1788235294,3139,23.618341232,162.931649697,0
13,12,318,3722,2574,32.0,165.038461538,104.128608924,119.0,145.085178876,165.0,78.0866372981,108.0,2574,29.3445380325,38.6051730826,0
14,12,327,3722,2039,32.0,165.038461538,104.128608924,119.0,39.0,71.1165644172,83.8888888889,92.9625212947,2039,36.8441646822,47.5593020433,0
15,12,329,3722,3786,32.0,165.038461538,104.128608924,119.0,224.0,269.108108108,182.098360656,186.948497854,2825,35.6538183542,157.276482617,0
16,12,339,3722,1270,32.0,165.038461538,104.128608924,119.0,199.911764706,213.075949367,103.0,120.12378902,1270,27.2267218436,15.3814592974,217
17,12,344,3722,3252,32.0,165.038461538,104.128608924,119.0,6.0,102.070021882,119.042510121,124.857142857,2787,38.4711141945,19.059819795,0
18,12,358,3722,3092,32.0,165.038461538,104.128608924,119.0,145.868852459,168.928186715,47.9577464789,102.84021544,2720,34.4909607739,88.8983364373,0
19,12,388,3722,2391,32.0,165.038461538,104.128608924,119.0,5.11627906977,61.0889423077,85.0,96.8643326039,2391,44.5852368159,47.5857910597,0
