,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,205,0,2761,1344,354.833766234,380.027777778,2.85483870968,72.9312169312,64.9223880597,109.015122873,9.9223880597,54.0396975425,564,92.8025499271,91.989486707,0
1,205,1,2761,3176,354.833766234,380.027777778,2.85483870968,72.9312169312,152.0,173.828865979,50.8384615385,81.9292682927,2389,69.5384646311,118.191760083,0
2,205,2,2761,4689,354.833766234,380.027777778,2.85483870968,72.9312169312,168.0,215.102857143,49.9962264151,157.104477612,2754,71.2879004736,89.3914183228,0
3,205,3,2761,3091,354.833766234,380.027777778,2.85483870968,72.9312169312,98.8214676889,128.077894737,55.9465811966,76.1221052632,2304,131.4225059,103.535378647,0
4,205,6,2761,4702,354.833766234,380.027777778,2.85483870968,72.9312169312,214.0,271.915129151,92.9920948617,166.079389313,2761,154.325235147,197.20493695,0
5,205,15,2761,4707,354.833766234,380.027777778,2.85483870968,72.9312169312,111.019767442,248.037878788,130.083333333,228.915151515,2761,153.460053201,340.011495107,0
6,205,73,2761,3941,354.833766234,380.027777778,2.85483870968,72.9312169312,192.017456359,235.190839695,0.717557251908,81.0573566085,2741,105.612665961,34.2875135683,57
7,205,202,2761,1904,354.833766234,380.027777778,2.85483870968,72.9312169312,167.0,196.898799314,81.0,119.037735849,1410,32.9063349912,202.727330414,0
8,205,222,2761,2183,354.833766234,380.027777778,2.85483870968,72.9312169312,90.0,108.994614004,71.0,81.9838420108,1715,33.6049408117,139.056842975,0
9,205,241,2761,2597,354.833766234,380.027777778,2.85483870968,72.9312169312,28.8591549296,77.056022409,68.0795724466,78.1151079137,2162,68.6226198874,118.377478363,0
10,205,259,2761,3319,354.833766234,380.027777778,2.85483870968,72.9312169312,54.0,97.0564705882,25.0,95.2062146893,2741,50.411782289,74.1679206742,0
11,205,288,2761,3252,354.833766234,380.027777778,2.85483870968,72.9312169312,52.1194029851,107.058823529,101.925396825,113.0,2761,36.9845914226,169.346582875,0
12,205,292,2761,3170,354.833766234,380.027777778,2.85483870968,72.9312169312,187.0,203.843881857,0.733333333333,76.1788235294,2760,41.2637791243,26.0484135098,0
13,205,318,2761,2574,354.833766234,380.027777778,2.85483870968,72.9312169312,145.085178876,165.0,78.0866372981,108.0,2565,22.74095889,144.488479801,0
14,205,327,2761,2039,354.833766234,380.027777778,2.85483870968,72.9312169312,39.0,71.1165644172,83.8888888889,92.9625212947,2036,31.3164342976,146.32935451,0
15,205,329,2761,3786,354.833766234,380.027777778,2.85483870968,72.9312169312,224.0,269.108108108,182.098360656,186.948497854,2617,44.2638465486,331.102417482,0
16,205,339,2761,1270,354.833766234,380.027777778,2.85483870968,72.9312169312,199.911764706,213.075949367,103.0,120.12378902,1267,24.0388377766,222.338162884,0
17,205,344,2761,3252,354.833766234,380.027777778,2.85483870968,72.9312169312,6.0,102.070021882,119.042510121,124.857142857,2579,28.2434795984,190.584256113,0
18,205,358,2761,3092,354.833766234,380.027777778,2.85483870968,72.9312169312,145.868852459,168.928186715,47.9577464789,102.84021544,2512,25.3550184456,87.5128895562,0
19,205,388,2761,2391,354.833766234,380.027777778,2.85483870968,72.9312169312,5.11627906977,61.0889423077,85.0,96.8643326039,2378,39.8841322951,123.60548959,0
20,205,390,2761,3282,354.833766234,380.027777778,2.85483870968,72.9312169312,173.847750865,191.0,124.017301038,157.0,2429,28.3031811465,236.150258238,0
21,205,394,2761,3166,354.833766234,380.027777778,2.85483870968,72.9312169312,232.143769968,255.84375,185.223300971,209.0,2409,52.4175061495,353.074608807,0
22,205,446,2761,2863,354.833766234,380.027777778,2.85483870968,72.9312169312,0.729166666667,99.1276102088,73.2299465241,104.861915367,2297,75.3032563387,105.807908725,0
23,205,469,2761,3104,354.833766234,380.027777778,2.85483870968,72.9312169312,67.0895522388,107.181818182,148.018181818,267.909090909,2139,60.3547796314,406.002972505,0
24,205,502,2761,1479,354.833766234,380.027777778,2.85483870968,72.9312169312,112.987012987,129.933463796,58.8538961039,74.0642570281,1479,75.4150699142,103.370573184,0
25,205,512,2761,1009,354.833766234,380.027777778,2.85483870968,72.9312169312,139.87037037,156.947688564,55.0,73.201183432,1009,71.3703550005,109.507404223,0
26,205,520,2761,2905,354.833766234,380.027777778,2.85483870968,72.9312169312,227.947712418,272.04250797,71.921360255,137.833333333,2063,57.7136067976,124.339373476,0
27,205,566,2761,1802,354.833766234,380.027777778,2.85483870968,72.9312169312,66.0,98.2369477912,111.021996616,114.107692308,1796,64.4453694424,166.684057386,0
28,205,582,2761,2806,354.833766234,380.027777778,2.85483870968,72.9312169312,114.056768559,183.920585162,143.119834711,188.086956522,1834,46.704310947,292.03873288,0
29,205,583,2761,1524,354.833766234,380.027777778,2.85483870968,72.9312169312,270.928695652,289.911764706,49.1333333333,79.1147826087,1524,77.5111850243,96.5043900965,0
30,205,594,2761,2319,354.833766234,380.027777778,2.85483870968,72.9312169312,41.9090909091,99.8909090909,89.0833333333,109.158878505,1818,70.0403936067,128.181218516,0
