,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,367,0,2415,1344,101.895348837,166.003311258,70.8904109589,93.8424657534,64.9223880597,109.015122873,9.9223880597,54.0396975425,167,125.655052053,47.3489823813,0
1,367,1,2415,3176,101.895348837,166.003311258,70.8904109589,93.8424657534,152.0,173.828865979,50.8384615385,81.9292682927,1992,84.9307541532,12.2465175585,0
2,367,2,2415,4689,101.895348837,166.003311258,70.8904109589,93.8424657534,168.0,215.102857143,49.9962264151,157.104477612,2413,86.2772795945,35.6304560381,46
3,367,3,2415,3091,101.895348837,166.003311258,70.8904109589,93.8424657534,98.8214676889,128.077894737,55.9465811966,76.1221052632,1907,110.772493364,29.216956657,0
4,367,6,2415,4702,101.895348837,166.003311258,70.8904109589,93.8424657534,214.0,271.915129151,92.9920948617,166.079389313,2415,165.136738837,76.6200466242,0
5,367,15,2415,4707,101.895348837,166.003311258,70.8904109589,93.8424657534,111.019767442,248.037878788,130.083333333,228.915151515,2415,139.644068418,214.084995308,0
6,367,73,2415,3941,101.895348837,166.003311258,70.8904109589,93.8424657534,192.017456359,235.190839695,0.717557251908,81.0573566085,2397,112.216743134,90.6980784378,0
7,367,202,2415,1904,101.895348837,166.003311258,70.8904109589,93.8424657534,167.0,196.898799314,81.0,119.037735849,1017,21.1857991352,64.9213256324,0
8,367,222,2415,2183,101.895348837,166.003311258,70.8904109589,93.8424657534,90.0,108.994614004,71.0,81.9838420108,1361,28.3712869572,1.48288910782,1361
9,367,241,2415,2597,101.895348837,166.003311258,70.8904109589,93.8424657534,28.8591549296,77.056022409,68.0795724466,78.1151079137,1765,93.8940076956,17.9643970101,0
10,367,259,2415,3319,101.895348837,166.003311258,70.8904109589,93.8424657534,54.0,97.0564705882,25.0,95.2062146893,2398,57.9847721214,42.2943917476,0
11,367,288,2415,3252,101.895348837,166.003311258,70.8904109589,93.8424657534,52.1194029851,107.058823529,101.925396825,113.0,2415,54.4035437983,46.2569144719,0
12,367,292,2415,3170,101.895348837,166.003311258,70.8904109589,93.8424657534,187.0,203.843881857,0.733333333333,76.1788235294,2415,58.3245006088,96.7812314246,0
13,367,318,2415,2574,101.895348837,166.003311258,70.8904109589,93.8424657534,145.085178876,165.0,78.0866372981,108.0,2271,37.5731580049,15.0333515063,1356
14,367,327,2415,2039,101.895348837,166.003311258,70.8904109589,93.8424657534,39.0,71.1165644172,83.8888888889,92.9625212947,1764,37.0542159097,14.8620316374,0
15,367,329,2415,3786,101.895348837,166.003311258,70.8904109589,93.8424657534,224.0,269.108108108,182.098360656,186.948497854,2415,57.6070539784,215.078389655,0
16,367,339,2415,1270,101.895348837,166.003311258,70.8904109589,93.8424657534,199.911764706,213.075949367,103.0,120.12378902,1033,45.6360026811,81.8022434545,0
17,367,344,2415,3252,101.895348837,166.003311258,70.8904109589,93.8424657534,6.0,102.070021882,119.042510121,124.857142857,2415,33.3526066834,73.9830268152,0
18,367,358,2415,3092,101.895348837,166.003311258,70.8904109589,93.8424657534,145.868852459,168.928186715,47.9577464789,102.84021544,2415,39.2077454513,32.7643472357,0
19,367,388,2415,2391,101.895348837,166.003311258,70.8904109589,93.8424657534,5.11627906977,61.0889423077,85.0,96.8643326039,2342,40.1071624132,7.64112531182,633
