,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,128,0,2753,1344,28.0,131.96124031,63.8964365256,79.1119842829,64.9223880597,109.015122873,9.9223880597,54.0396975425,964,54.2665376273,78.9861966624,0
1,128,1,2753,3176,28.0,131.96124031,63.8964365256,79.1119842829,152.0,173.828865979,50.8384615385,81.9292682927,2752,56.8982236768,12.7013588172,407
2,128,2,2753,4689,28.0,131.96124031,63.8964365256,79.1119842829,168.0,215.102857143,49.9962264151,157.104477612,2747,50.5066590008,29.0392006747,0
3,128,3,2753,3091,28.0,131.96124031,63.8964365256,79.1119842829,98.8214676889,128.077894737,55.9465811966,76.1221052632,2700,140.558499393,19.8435606042,0
4,128,6,2753,4702,28.0,131.96124031,63.8964365256,79.1119842829,214.0,271.915129151,92.9920948617,166.079389313,2753,121.746037694,83.7469962626,0
5,128,15,2753,4707,28.0,131.96124031,63.8964365256,79.1119842829,111.019767442,248.037878788,130.083333333,228.915151515,2753,143.117160158,259.673946834,0
6,128,73,2753,3941,28.0,131.96124031,63.8964365256,79.1119842829,192.017456359,235.190839695,0.717557251908,81.0573566085,2742,88.8088954549,93.4019526857,0
7,128,202,2753,1904,28.0,131.96124031,63.8964365256,79.1119842829,167.0,196.898799314,81.0,119.037735849,1806,63.1852118835,60.3372099657,0
8,128,222,2753,2183,28.0,131.96124031,63.8964365256,79.1119842829,90.0,108.994614004,71.0,81.9838420108,2101,56.4376070035,10.3698098463,587
9,128,241,2753,2597,28.0,131.96124031,63.8964365256,79.1119842829,28.8591549296,77.056022409,68.0795724466,78.1151079137,2554,27.8843805386,2.80792064175,2554
10,128,259,2753,3319,28.0,131.96124031,63.8964365256,79.1119842829,54.0,97.0564705882,25.0,95.2062146893,2681,63.8172256644,50.0667656299,0
11,128,288,2753,3252,28.0,131.96124031,63.8964365256,79.1119842829,52.1194029851,107.058823529,101.925396825,113.0,2545,41.8824557982,68.5081929233,0
12,128,292,2753,3170,28.0,131.96124031,63.8964365256,79.1119842829,187.0,203.843881857,0.733333333333,76.1788235294,2575,38.2944917357,101.606245838,0
13,128,318,2753,2574,28.0,131.96124031,63.8964365256,79.1119842829,145.085178876,165.0,78.0866372981,108.0,2258,56.0813854889,38.115079014,0
14,128,327,2753,2039,28.0,131.96124031,63.8964365256,79.1119842829,39.0,71.1165644172,83.8888888889,92.9625212947,2039,60.4371619493,28.9037391818,0
15,128,329,2753,3786,28.0,131.96124031,63.8964365256,79.1119842829,224.0,269.108108108,182.098360656,186.948497854,2212,42.7044413677,236.688918164,0
16,128,339,2753,1270,28.0,131.96124031,63.8964365256,79.1119842829,199.911764706,213.075949367,103.0,120.12378902,1270,51.3772810439,92.7100030229,0
17,128,344,2753,3252,28.0,131.96124031,63.8964365256,79.1119842829,6.0,102.070021882,119.042510121,124.857142857,2174,62.4220694604,94.7737809363,0
18,128,358,2753,3092,28.0,131.96124031,63.8964365256,79.1119842829,145.868852459,168.928186715,47.9577464789,102.84021544,2107,59.591606307,21.691145153,0
19,128,388,2753,2391,28.0,131.96124031,63.8964365256,79.1119842829,5.11627906977,61.0889423077,85.0,96.8643326039,1999,70.7343207414,23.3863805601,0
20,128,390,2753,3282,28.0,131.96124031,63.8964365256,79.1119842829,173.847750865,191.0,124.017301038,157.0,2021,70.6266410785,146.071120128,0
