,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,3,0,3983,1344,135.0,222.924302789,51.0,100.950863214,64.9223880597,109.015122873,9.9223880597,54.0396975425,1338,27.0621728624,62.1015139463,0
1,3,1,3983,3176,135.0,222.924302789,51.0,100.950863214,152.0,173.828865979,50.8384615385,81.9292682927,3170,46.7336446037,0.751301677682,3170
2,3,2,3983,4689,135.0,222.924302789,51.0,100.950863214,168.0,215.102857143,49.9962264151,157.104477612,3976,58.4063164748,18.0294049927,818
3,3,3,3983,3091,135.0,222.924302789,51.0,100.950863214,98.8214676889,128.077894737,55.9465811966,76.1221052632,3085,143.084919929,12.886364149,374
4,3,6,3983,4702,135.0,222.924302789,51.0,100.950863214,214.0,271.915129151,92.9920948617,166.079389313,3983,92.0154783858,89.024376878,0
5,3,15,3983,4707,135.0,222.924302789,51.0,100.950863214,111.019767442,248.037878788,130.083333333,228.915151515,3983,118.047926783,244.490394442,0
6,3,73,3983,3941,135.0,222.924302789,51.0,100.950863214,192.017456359,235.190839695,0.717557251908,81.0573566085,3911,62.7597530887,78.8731813048,0
7,3,202,3983,1904,135.0,222.924302789,51.0,100.950863214,167.0,196.898799314,81.0,119.037735849,1904,78.6756977806,70.321582912,0
8,3,222,3983,2183,135.0,222.924302789,51.0,100.950863214,90.0,108.994614004,71.0,81.9838420108,2183,73.433971703,16.4455070786,0
9,3,241,3983,2597,135.0,222.924302789,51.0,100.950863214,28.8591549296,77.056022409,68.0795724466,78.1151079137,2597,52.6725169563,12.818334954,281
10,3,259,3983,3319,135.0,222.924302789,51.0,100.950863214,54.0,97.0564705882,25.0,95.2062146893,3313,71.0565730224,37.6300663382,156
11,3,288,3983,3252,135.0,222.924302789,51.0,100.950863214,52.1194029851,107.058823529,101.925396825,113.0,3246,69.4180378357,62.0149615596,0
12,3,292,3983,3170,135.0,222.924302789,51.0,100.950863214,187.0,203.843881857,0.733333333333,76.1788235294,3164,58.9997983311,87.0145482235,0
13,3,318,3983,2574,135.0,222.924302789,51.0,100.950863214,145.085178876,165.0,78.0866372981,108.0,2574,78.0874304839,33.6946053384,0
14,3,327,3983,2039,135.0,222.924302789,51.0,100.950863214,39.0,71.1165644172,83.8888888889,92.9625212947,2039,74.4880302412,28.5156179954,0
15,3,329,3983,3786,135.0,222.924302789,51.0,100.950863214,224.0,269.108108108,182.098360656,186.948497854,3061,62.4746165431,220.807391654,0
16,3,339,3983,1270,135.0,222.924302789,51.0,100.950863214,199.911764706,213.075949367,103.0,120.12378902,1270,74.7556169972,94.036836747,0
17,3,344,3983,3252,135.0,222.924302789,51.0,100.950863214,6.0,102.070021882,119.042510121,124.857142857,3023,79.327472246,81.4774076686,0
18,3,358,3983,3092,135.0,222.924302789,51.0,100.950863214,145.868852459,168.928186715,47.9577464789,102.84021544,2956,77.7609071939,20.3529833644,0
19,3,388,3983,2391,135.0,222.924302789,51.0,100.950863214,5.11627906977,61.0889423077,85.0,96.8643326039,2385,85.9590304418,18.7025920161,0
20,3,390,3983,3282,135.0,222.924302789,51.0,100.950863214,173.847750865,191.0,124.017301038,157.0,2870,83.2891129687,122.85395406,0
21,3,394,3983,3166,135.0,222.924302789,51.0,100.950863214,232.143769968,255.84375,185.223300971,209.0,2850,84.9810940759,243.116170513,0
22,3,446,3983,2863,135.0,222.924302789,51.0,100.950863214,0.729166666667,99.1276102088,73.2299465241,104.861915367,2738,53.1396305597,2.25417810139,2541
23,3,469,3983,3104,135.0,222.924302789,51.0,100.950863214,67.0895522388,107.181818182,148.018181818,267.909090909,2580,72.5124963803,292.572524284,0
24,3,502,3983,1479,135.0,222.924302789,51.0,100.950863214,112.987012987,129.933463796,58.8538961039,74.0642570281,1479,57.6752265221,13.8378114749,0
25,3,512,3983,1009,135.0,222.924302789,51.0,100.950863214,139.87037037,156.947688564,55.0,73.201183432,1009,116.502161596,14.3707905552,130
26,3,520,3983,2905,135.0,222.924302789,51.0,100.950863214,227.947712418,272.04250797,71.921360255,137.833333333,2504,72.043668811,21.7299244322,45
27,3,566,3983,1802,135.0,222.924302789,51.0,100.950863214,66.0,98.2369477912,111.021996616,114.107692308,1802,107.852982962,67.9027746723,0
28,3,582,3983,2806,135.0,222.924302789,51.0,100.950863214,114.056768559,183.920585162,143.119834711,188.086956522,2275,77.6788766874,185.642985613,0
29,3,583,3983,1524,135.0,222.924302789,51.0,100.950863214,270.928695652,289.911764706,49.1333333333,79.1147826087,1524,89.6161470863,13.690556588,242
30,3,594,3983,2319,135.0,222.924302789,51.0,100.950863214,41.9090909091,99.8909090909,89.0833333333,109.158878505,2259,103.757763272,29.8420110609,0
31,3,595,3983,2038,135.0,222.924302789,51.0,100.950863214,267.861842105,307.038461538,104.063492063,129.962719298,2032,74.8412079713,74.891931623,0
