,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,395,0,3322,1344,226.938650307,277.102994012,39.8783783784,132.049019608,64.9223880597,109.015122873,9.9223880597,54.0396975425,90,137.398681408,29.0468052415,0
1,395,1,3322,3176,226.938650307,277.102994012,39.8783783784,132.049019608,152.0,173.828865979,50.8384615385,81.9292682927,1915,93.3913709155,31.6092211679,0
2,395,2,3322,4689,226.938650307,277.102994012,39.8783783784,132.049019608,168.0,215.102857143,49.9962264151,157.104477612,3320,92.9403594711,12.2712631003,779
3,395,3,3322,3091,226.938650307,277.102994012,39.8783783784,132.049019608,98.8214676889,128.077894737,55.9465811966,76.1221052632,1830,114.988079026,15.8360586229,702
4,395,6,3322,4702,226.938650307,277.102994012,39.8783783784,132.049019608,214.0,271.915129151,92.9920948617,166.079389313,3322,146.229403713,102.54217259,0
5,395,15,3322,4707,226.938650307,277.102994012,39.8783783784,132.049019608,111.019767442,248.037878788,130.083333333,228.915151515,3322,122.261872146,195.590794903,0
6,395,73,3322,3941,226.938650307,277.102994012,39.8783783784,132.049019608,192.017456359,235.190839695,0.717557251908,81.0573566085,2732,103.755120643,48.6837760753,0
7,395,202,3322,1904,226.938650307,277.102994012,39.8783783784,132.049019608,167.0,196.898799314,81.0,119.037735849,941,25.2104198791,124.394907548,0
8,395,222,3322,2183,226.938650307,277.102994012,39.8783783784,132.049019608,90.0,108.994614004,71.0,81.9838420108,1284,46.7702800338,51.1843447322,0
9,395,241,3322,2597,226.938650307,277.102994012,39.8783783784,132.049019608,28.8591549296,77.056022409,68.0795724466,78.1151079137,1688,103.764725393,27.638851998,2
10,395,259,3322,3319,226.938650307,277.102994012,39.8783783784,132.049019608,54.0,97.0564705882,25.0,95.2062146893,2493,38.9054008022,3.22535904093,2367
11,395,288,3322,3252,226.938650307,277.102994012,39.8783783784,132.049019608,52.1194029851,107.058823529,101.925396825,113.0,2577,61.2531936008,75.9613790882,0
12,395,292,3322,3170,226.938650307,277.102994012,39.8783783784,132.049019608,187.0,203.843881857,0.733333333333,76.1788235294,2468,57.1907744124,54.1867046795,0
13,395,318,3322,2574,226.938650307,277.102994012,39.8783783784,132.049019608,145.085178876,165.0,78.0866372981,108.0,2195,41.1334058303,52.3517103589,0
14,395,327,3322,2039,226.938650307,277.102994012,39.8783783784,132.049019608,39.0,71.1165644172,83.8888888889,92.9625212947,1687,37.6647768843,59.8563845803,0
15,395,329,3322,3786,226.938650307,277.102994012,39.8783783784,132.049019608,224.0,269.108108108,182.098360656,186.948497854,3320,46.5234483031,219.210921,0
16,395,339,3322,1270,226.938650307,277.102994012,39.8783783784,132.049019608,199.911764706,213.075949367,103.0,120.12378902,956,63.7766873356,140.249381885,0
17,395,344,3322,3252,226.938650307,277.102994012,39.8783783784,132.049019608,6.0,102.070021882,119.042510121,124.857142857,2948,29.4179596181,92.986491023,0
18,395,358,3322,3092,226.938650307,277.102994012,39.8783783784,132.049019608,145.868852459,168.928186715,47.9577464789,102.84021544,2858,38.6953625613,12.6095056886,539
19,395,388,3322,2391,226.938650307,277.102994012,39.8783783784,132.049019608,5.11627906977,61.0889423077,85.0,96.8643326039,2271,29.97414134,44.6188445697,0
20,395,390,3322,3282,226.938650307,277.102994012,39.8783783784,132.049019608,173.847750865,191.0,124.017301038,157.0,3123,28.2847019374,125.83829513,0
21,395,394,3322,3166,226.938650307,277.102994012,39.8783783784,132.049019608,232.143769968,255.84375,185.223300971,209.0,3032,49.6924662713,249.600407659,0
22,395,446,3322,2863,226.938650307,277.102994012,39.8783783784,132.049019608,0.729166666667,99.1276102088,73.2299465241,104.861915367,2845,90.1769117,23.8750002227,423
23,395,469,3322,3104,226.938650307,277.102994012,39.8783783784,132.049019608,67.0895522388,107.181818182,148.018181818,267.909090909,3092,37.8177789999,273.320083971,0
24,395,502,3322,1479,226.938650307,277.102994012,39.8783783784,132.049019608,112.987012987,129.933463796,58.8538961039,74.0642570281,1479,107.426534033,18.4894924222,458
25,395,512,3322,1009,226.938650307,277.102994012,39.8783783784,132.049019608,139.87037037,156.947688564,55.0,73.201183432,1009,32.4199395054,23.021366267,0
26,395,520,3322,2905,226.938650307,277.102994012,39.8783783784,132.049019608,227.947712418,272.04250797,71.921360255,137.833333333,2893,33.0343590233,40.4904733623,0
27,395,566,3322,1802,226.938650307,277.102994012,39.8783783784,132.049019608,66.0,98.2369477912,111.021996616,114.107692308,1802,38.4613280615,89.1678558428,0
28,395,582,3322,2806,226.938650307,277.102994012,39.8783783784,132.049019608,114.056768559,183.920585162,143.119834711,188.086956522,2794,31.0777023964,175.118833246,0
29,395,583,3322,1524,226.938650307,277.102994012,39.8783783784,132.049019608,270.928695652,289.911764706,49.1333333333,79.1147826087,1524,46.6018595485,11.4684338279,161
30,395,594,3322,2319,226.938650307,277.102994012,39.8783783784,132.049019608,41.9090909091,99.8909090909,89.0833333333,109.158878505,2313,43.3804686357,44.494409379,0
31,395,595,3322,2038,226.938650307,277.102994012,39.8783783784,132.049019608,267.861842105,307.038461538,104.063492063,129.962719298,2038,43.6269959992,92.6624846161,0
32,395,598,3322,2850,226.938650307,277.102994012,39.8783783784,132.049019608,111.934782609,165.09375,142.814655172,224.949037373,2835,36.5838285194,230.786073076,0
33,395,607,3322,2819,226.938650307,277.102994012,39.8783783784,132.049019608,214.917112299,235.0,54.0,142.09375,2807,50.197751324,12.8996032348,542
34,395,608,3322,1908,226.938650307,277.102994012,39.8783783784,132.049019608,182.904153355,187.911111111,65.0,87.1424050633,1908,64.1606974453,14.7920054161,481
35,395,614,3322,2636,226.938650307,277.102994012,39.8783783784,132.049019608,170.829268293,180.996521739,75.90625,112.263414634,2624,45.3970575003,28.8592013643,244
36,395,617,3322,735,226.938650307,277.102994012,39.8783783784,132.049019608,87.8833333333,108.90397351,84.8642384106,116.0,735,53.679724063,86.9088997676,0
37,395,619,3322,1939,226.938650307,277.102994012,39.8783783784,132.049019608,18.0617420066,60.0512048193,48.9016393443,81.8571428571,1939,45.646469707,20.7072720139,86
38,395,620,3322,2488,226.938650307,277.102994012,39.8783783784,132.049019608,107.99375,140.07,69.9719626168,106.089848308,2476,35.5769239631,14.5717936696,728
39,395,621,3322,311,226.938650307,277.102994012,39.8783783784,132.049019608,177.0,182.166007905,187.023715415,207.0,311,26.7097823027,292.28976047,0
40,395,622,3322,2628,226.938650307,277.102994012,39.8783783784,132.049019608,125.890566038,227.0,103.95505618,130.188679245,2616,30.7825340682,75.220721847,0
41,395,629,3322,2404,226.938650307,277.102994012,39.8783783784,132.049019608,87.8833333333,106.901041667,42.0,103.8203125,2392,44.6086673365,24.0288245514,0
42,395,641,3322,2270,226.938650307,277.102994012,39.8783783784,132.049019608,260.961685824,313.00804829,68.9346076459,118.934560327,2264,66.9336551422,28.0003508071,0
43,395,648,3322,1499,226.938650307,277.102994012,39.8783783784,132.049019608,52.0,95.1123188406,36.9479166667,52.0507246377,1499,63.1633750147,57.3427437871,0
44,395,678,3322,994,226.938650307,277.102994012,39.8783783784,132.049019608,210.215053763,212.103448276,19.0,39.0922509225,994,73.8428504098,58.7465084071,0
45,395,687,3322,2231,226.938650307,277.102994012,39.8783783784,132.049019608,177.914285714,194.212837838,22.9659090909,87.1925675676,2225,50.2464697365,68.3487834577,0
46,395,702,3322,2568,226.938650307,277.102994012,39.8783783784,132.049019608,172.065789474,228.0,84.9425287356,115.947154472,2556,53.1596349975,30.357334218,252
47,395,709,3322,1516,226.938650307,277.102994012,39.8783783784,132.049019608,150.901408451,166.063186813,130.813186813,147.0,1516,45.7963669595,135.695090273,0
48,395,721,3322,2470,226.938650307,277.102994012,39.8783783784,132.049019608,241.028806584,341.990990991,96.009009009,155.839506173,2458,53.5305536441,73.9886482096,0
49,395,725,3322,2089,226.938650307,277.102994012,39.8783783784,132.049019608,257.020512821,309.826086957,100.91954023,141.120512821,2083,55.6515266947,86.7214449979,0
50,395,729,3322,2401,226.938650307,277.102994012,39.8783783784,132.049019608,211.822937626,232.904109589,24.0,121.792626728,2389,80.1935591477,34.8240484397,142
51,395,732,3322,1453,226.938650307,277.102994012,39.8783783784,132.049019608,208.934210526,237.913978495,92.8494077834,107.012987013,1453,54.3640305826,64.083521611,0
52,395,733,3322,2506,226.938650307,277.102994012,39.8783783784,132.049019608,174.751351351,185.007575758,128.194594595,168.0,2494,55.192418187,132.785538493,0
53,395,741,3322,2320,226.938650307,277.102994012,39.8783783784,132.049019608,183.909090909,201.227941176,0.748201438849,105.233962264,2308,41.6035929547,76.0071353033,0
54,395,749,3322,2391,226.938650307,277.102994012,39.8783783784,132.049019608,228.08681672,245.924050633,160.059970015,177.019543974,2379,55.0582949899,165.510909299,0
55,395,757,3322,2001,226.938650307,277.102994012,39.8783783784,132.049019608,234.876923077,261.094594595,86.0625,125.133333333,1995,57.0484395295,53.6133200257,0
56,395,758,3322,2518,226.938650307,277.102994012,39.8783783784,132.049019608,211.860036832,234.89524838,0.694352159468,136.797421731,2506,67.6928682092,57.3701977552,130
57,395,795,3322,1844,226.938650307,277.102994012,39.8783783784,132.049019608,138.822580645,152.253968254,77.9534883721,99.0555555556,1844,65.8932777079,17.854629079,303
58,395,805,3322,2309,226.938650307,277.102994012,39.8783783784,132.049019608,224.861842105,264.015186916,20.9565217391,131.097478992,2297,60.1167323821,61.1441550702,75
59,395,808,3322,2399,226.938650307,277.102994012,39.8783783784,132.049019608,193.0,205.795148248,4.89393939394,134.891129032,2382,57.3509897534,59.1112610732,115
60,395,817,3322,1432,226.938650307,277.102994012,39.8783783784,132.049019608,34.0,95.0,77.9111111111,97.915407855,1432,72.0145758399,19.9441004824,0
61,395,828,3322,2188,226.938650307,277.102994012,39.8783783784,132.049019608,18.90625,103.885572139,113.958762887,122.075313808,2176,65.0004373347,56.9731205215,111
62,395,835,3322,2225,226.938650307,277.102994012,39.8783783784,132.049019608,250.002020202,382.328125,104.0,165.026262626,2213,48.1821743811,95.9507177457,0
63,395,852,3322,851,226.938650307,277.102994012,39.8783783784,132.049019608,39.9152542373,71.0256410256,222.153043478,247.898305085,851,80.019316526,323.71288767,0
64,395,859,3322,215,226.938650307,277.102994012,39.8783783784,132.049019608,154.127777778,155.921052632,227.834763948,248.934210526,215,122.785026224,342.760685495,0
65,395,865,3322,2276,226.938650307,277.102994012,39.8783783784,132.049019608,0.745454545455,110.981260647,124.861728395,133.048484848,2264,53.7038455785,74.2358003207,138
66,395,875,3322,847,226.938650307,277.102994012,39.8783783784,132.049019608,176.066666667,198.085995086,120.002617801,122.157676349,847,33.506720447,103.617978662,0
67,395,876,3322,892,226.938650307,277.102994012,39.8783783784,132.049019608,178.022321429,200.95819582,123.059866962,125.13163482,892,25.9542472924,110.027470269,0
68,395,886,3322,1873,226.938650307,277.102994012,39.8783783784,132.049019608,172.901234568,193.853300733,1.73611111111,88.9877750611,1864,58.1036182047,99.0209696846,0
69,395,912,3322,776,226.938650307,277.102994012,39.8783783784,132.049019608,201.995215311,206.871121718,23.9608433735,45.8990384615,776,38.3343641411,66.9395915394,0
70,395,913,3322,1912,226.938650307,277.102994012,39.8783783784,132.049019608,128.074666667,168.037647059,8.0,85.2475247525,1900,71.97462734,111.392199879,0
71,395,917,3322,1653,226.938650307,277.102994012,39.8783783784,132.049019608,0.744736842105,81.9227373068,109.027642276,118.954887218,1647,19.7573517304,53.1724446212,0
72,395,920,3322,1306,226.938650307,277.102994012,39.8783783784,132.049019608,272.993927126,295.867346939,75.0294117647,107.034042553,1306,76.8993573318,33.078861318,0
73,395,972,3322,1116,226.938650307,277.102994012,39.8783783784,132.049019608,24.7957746479,57.11875,59.0352112676,84.1,1116,54.6995347106,15.9484333976,0
74,395,986,3322,971,226.938650307,277.102994012,39.8783783784,132.049019608,197.284848485,203.980645161,0.788079470199,40.1319148936,971,33.2398152897,108.017505362,0
75,395,995,3322,1261,226.938650307,277.102994012,39.8783783784,132.049019608,87.0,107.876132931,92.9813664596,103.990936556,1261,70.7029167862,29.7955381735,0
76,395,1005,3322,893,226.938650307,277.102994012,39.8783783784,132.049019608,168.899419729,179.1953125,10.9836065574,46.0556127703,893,106.363421679,93.538954043,0
77,395,1007,3322,1754,226.938650307,277.102994012,39.8783783784,132.049019608,39.0,108.036144578,121.888888889,128.966876972,1742,52.7103349695,71.9460989018,0
78,395,1019,3322,551,226.938650307,277.102994012,39.8783783784,132.049019608,219.813747228,241.095238095,22.935483871,51.8935698448,551,96.7379991334,60.412449869,0
79,395,1049,3322,1335,226.938650307,277.102994012,39.8783783784,132.049019608,211.898876404,213.891373802,47.0,93.9782016349,1335,63.4579592795,23.0755474095,0
80,395,1079,3322,1816,226.938650307,277.102994012,39.8783783784,132.049019608,245.955380577,329.115044248,52.0619469027,138.049868766,1804,57.8905935388,11.9762734141,274
81,395,1102,3322,1992,226.938650307,277.102994012,39.8783783784,132.049019608,222.057391304,293.083333333,115.99002991,184.064516129,1901,68.4923447273,81.5190490502,0
82,395,1108,3322,956,226.938650307,277.102994012,39.8783783784,132.049019608,204.122222222,206.798780488,52.8735632184,77.9803278689,956,75.3075112044,24.5852241595,0
83,395,1109,3322,1321,226.938650307,277.102994012,39.8783783784,132.049019608,221.797752809,229.89,49.1379310345,93.0539325843,1321,62.4814853573,26.9349373662,0
84,395,1117,3322,1535,226.938650307,277.102994012,39.8783783784,132.049019608,238.812820513,286.892156863,14.8504672897,106.112820513,1523,57.1150919635,43.4293981776,0
85,395,1128,3322,1730,226.938650307,277.102994012,39.8783783784,132.049019608,229.814241486,279.942857143,54.8550724638,133.204334365,1718,48.6154556808,8.60935208037,545
