,PIDL,PIDR,LenL,LenR,Xmin L,Xmax L,Ymin L,Ymax L,Xmin R,Xmax R,Ymin R,Ymax R,Frame Count,Mass Diff,FF Ave,FF Small Count
0,307,0,2957,1344,47.0,180.121037464,78.1428571429,110.925373134,64.9223880597,109.015122873,9.9223880597,54.0396975425,288,116.143466779,72.374582718,0
1,307,1,2957,3176,47.0,180.121037464,78.1428571429,110.925373134,152.0,173.828865979,50.8384615385,81.9292682927,2113,81.7029308848,29.8864632585,0
2,307,2,2957,4689,47.0,180.121037464,78.1428571429,110.925373134,168.0,215.102857143,49.9962264151,157.104477612,2955,93.358612262,45.846121147,192
3,307,3,2957,3091,47.0,180.121037464,78.1428571429,110.925373134,98.8214676889,128.077894737,55.9465811966,76.1221052632,2028,117.368162966,46.6084102377,0
4,307,6,2957,4702,47.0,180.121037464,78.1428571429,110.925373134,214.0,271.915129151,92.9920948617,166.079389313,2957,157.515411074,62.6713359722,0
5,307,15,2957,4707,47.0,180.121037464,78.1428571429,110.925373134,111.019767442,248.037878788,130.083333333,228.915151515,2957,142.742215029,188.76024489,0
6,307,73,2957,3941,47.0,180.121037464,78.1428571429,110.925373134,192.017456359,235.190839695,0.717557251908,81.0573566085,2878,103.914329229,102.313913756,0
7,307,202,2957,1904,47.0,180.121037464,78.1428571429,110.925373134,167.0,196.898799314,81.0,119.037735849,1134,16.8761960184,45.1137436446,0
8,307,222,2957,2183,47.0,180.121037464,78.1428571429,110.925373134,90.0,108.994614004,71.0,81.9838420108,1468,28.6297073262,19.1145951812,0
9,307,241,2957,2597,47.0,180.121037464,78.1428571429,110.925373134,28.8591549296,77.056022409,68.0795724466,78.1151079137,1886,85.5505937417,34.3999057622,0
10,307,259,2957,3319,47.0,180.121037464,78.1428571429,110.925373134,54.0,97.0564705882,25.0,95.2062146893,2671,50.4313578503,58.0833181265,0
11,307,288,2957,3252,47.0,180.121037464,78.1428571429,110.925373134,52.1194029851,107.058823529,101.925396825,113.0,2771,46.630405853,30.0056756453,0
12,307,292,2957,3170,47.0,180.121037464,78.1428571429,110.925373134,187.0,203.843881857,0.733333333333,76.1788235294,2666,50.4310213604,112.060569013,0
