,Left Index,Right Index,18333 X,18333 Y,18158 X,18158 Y,Epipolar
0,0,12170,306,80,85,77,0.0177109711527
1,1,2953,218,88,78,88,0.0291296780994
2,2,14019,238,112,132,110,0.0117268873259
3,3,336,254,128,98,127,0.0177980947983
4,4,8463,266,104,76,103,0.00342544055194
5,5,7943,278,172,211,171,0.00798521460229
6,6,1551,286,124,154,121,0.00518955941525
7,7,4200,298,156,269,153,0.00352162482679
8,8,890,302,32,165,23,0.00310872112262
9,9,3242,306,148,160,146,0.00522970149386
10,10,7232,310,140,333,134,0.0254159998841
11,11,1951,211,83,135,81,0.00978098995243
12,12,2045,227,83,47,84,0.0169715236834
13,13,10041,231,19,9,23,0.0274524993155
14,14,7522,235,107,353,98,0.000769527617813
15,15,939,255,27,152,21,0.00597545447288
16,16,11628,259,103,141,100,0.00451818582683
17,17,7594,259,183,357,182,0.000324244318384
18,18,3177,271,87,92,85,0.00692701014039
19,19,11666,275,131,132,129,0.00163442311299
20,20,8081,283,15,44,14,0.00184667433079
21,21,2612,287,19,167,10,0.0194671421436
22,22,7997,291,59,165,52,0.0198333648387
23,23,4207,291,91,106,88,0.000576918386414
24,24,11885,299,171,211,170,0.0149231700098
25,25,11467,323,39,329,20,0.00359987738368
26,26,1346,260,112,151,109,0.00537607892517
27,27,109,276,148,111,147,0.0154198330945
28,28,2716,320,64,167,56,0.0454278788886
29,29,497,130,114,95,115,0.00416245662589
30,30,6196,194,126,253,122,0.0110690652671
31,31,1776,214,166,68,166,0.0115472666349
32,32,1204,226,82,148,79,0.00210418593507
33,33,2358,258,130,54,130,0.00536547060845
34,34,7821,262,126,373,118,0.0217588399197
35,35,1688,262,166,168,165,0.000462408590022
36,36,2568,274,130,88,129,0.00125318433975
37,37,12333,274,154,261,151,0.0102880209852
38,38,6513,282,62,281,50,0.027383081666
39,39,8286,286,18,151,10,0.0088686592612
40,40,11225,290,58,145,52,0.000524211156637
41,41,9465,294,58,82,55,0.0372280083283
42,42,4031,298,170,200,169,0.00132065445732
43,43,75,302,182,206,182,0.0975440608217
44,44,6308,318,30,265,14,0.00233771653807
45,45,1746,170,95,140,94,0.00494108820037
46,46,7356,194,91,341,82,0.00639903922786
47,47,727,198,95,177,92,0.00654220095416
48,48,6613,214,71,289,62,0.0371308864255
49,49,12068,226,67,185,62,0.038452821129
50,50,2786,242,91,115,89,0.0109537088738
51,51,9550,266,155,60,155,0.00688336687268
52,52,6309,270,35,265,22,0.0261369494266
53,53,615,274,7,66,5,0.00717219069389
54,54,7277,274,75,337,62,0.0464384017534
55,55,9459,274,159,62,159,0.0108226569275
56,56,8827,278,95,147,91,2.34091805306e-05
57,57,8445,278,171,86,171,0.00728981339151
58,58,640,286,51,142,45,0.00571388265241
59,59,12531,286,71,94,68,0.0390732370064
60,60,2393,286,147,49,147,0.00802250574602
61,61,745,294,83,97,80,0.000837322749045
62,62,8959,302,51,166,43,0.0440090372261
63,63,9607,302,87,94,84,0.0074869897889
64,64,1317,302,91,98,88,0.00731413603989
65,65,13322,306,19,56,16,0.00216443534649
66,66,13041,310,67,180,59,0.0281167689568
67,67,8340,314,103,102,100,0.00490868424151
68,68,11775,322,159,289,156,0.0119086897414
69,69,10783,322,187,341,187,0.116663619082
70,70,2870,326,27,74,22,0.00444176117659
71,71,10895,326,167,83,167,0.00714965259592
72,72,9587,330,31,189,19,0.00746816356179
73,73,3324,330,163,69,163,0.01569887315
74,74,926,350,31,72,25,0.00365084392674
75,75,81,296,164,67,164,0.0341137217975
76,76,12523,328,156,50,156,0.0123247768626
77,77,524,332,36,194,24,0.000161944324157
78,78,486,340,28,225,13,0.00747742911723
79,79,1272,198,101,61,102,0.00281514768072
80,80,1911,314,33,71,29,0.0154441152495
81,81,10845,318,173,365,171,0.00971176575103
82,82,100,322,177,150,177,0.0271145671365
83,83,13906,163,91,90,92,0.00270549857455
84,84,1682,199,95,148,93,0.00458018046045
85,85,9130,211,99,171,96,0.00267379626427
86,86,6270,219,55,261,46,0.0379817454738
87,87,2283,239,95,176,91,0.012441158182
88,88,10830,251,47,357,31,0.0156676722152
89,89,565,251,115,161,112,0.00672072577765
90,90,4058,263,47,158,41,0.0149388946184
91,91,8667,263,175,88,175,0.0119224532325
92,92,9522,263,187,182,187,0.00602677852155
93,93,932,267,111,112,109,0.00853838393443
94,94,2369,271,19,118,14,0.0143829487321
95,95,7285,275,111,337,102,0.0231976154433
96,96,665,287,67,242,57,0.04217674513
97,97,10763,287,155,333,151,0.0151683487243
98,98,8240,291,103,88,101,0.011370145222
99,99,9450,303,147,42,147,0.00850013080778
100,100,70,303,167,178,166,0.00607392637156
101,101,12423,307,31,59,28,0.00258341794302
102,102,14028,311,31,156,22,0.00206306344297
103,103,13556,311,151,169,149,0.0229853902303
104,104,11775,311,159,289,156,0.00858929634103
105,105,8020,315,83,130,78,0.00450222841665
106,106,2011,319,27,243,12,0.00482957328715
107,107,11775,319,159,289,156,0.00630942044533
108,108,10895,319,167,83,167,0.0173256082168
109,109,6769,327,111,301,102,0.0269216617801
110,110,11851,335,27,131,18,0.00307125515066
111,111,9738,226,151,260,148,0.00806102974228
112,112,2024,234,143,121,142,0.0091128100265
113,113,890,282,31,165,23,0.0161272915888
114,114,13605,294,135,175,132,0.0126076170314
115,115,1270,153,95,37,98,0.00976839725474
116,116,7469,173,87,349,78,0.00659194634195
117,117,6277,205,115,261,110,0.0011623118981
118,118,249,213,91,55,92,0.00247617878007
119,119,4238,217,87,1,90,0.00800599022787
120,120,3393,217,119,40,120,0.0123030437761
121,121,763,225,123,189,120,0.00719200383011
122,122,13786,233,115,207,111,0.0132071723704
123,123,14082,237,27,151,22,0.0148122285116
124,124,8192,237,179,75,179,0.0145289139232
125,125,7810,245,79,373,66,0.00231726461357
126,126,13391,257,83,101,81,0.0291763526932
127,127,12388,269,167,174,166,0.00150582284894
128,128,1996,273,95,123,92,0.0031504211023
129,129,1967,285,107,96,105,0.000382845765251
130,130,889,289,183,157,183,0.0790018180148
131,131,10604,293,23,277,7,0.000652439396267
132,132,13260,301,95,74,93,0.0320401526278
133,133,1500,301,143,146,141,0.000454084866669
134,134,12021,309,83,233,74,0.0108616886887
135,135,10042,313,87,9,87,0.0241670213948
136,136,10541,313,103,253,95,0.026223095521
137,137,235,317,19,202,6,0.00890954523813
138,138,10783,317,187,341,187,0.0698444287987
139,139,1085,321,99,121,95,0.00599681220854
140,140,1938,325,31,27,29,0.00321927492331
141,141,6982,325,83,317,70,0.0172222916959
142,142,4347,341,3,9,2,1.14036653779
143,143,482,341,23,201,9,0.00481267676349
144,144,13589,247,124,59,124,0.000999459078369
145,145,2907,247,172,196,171,0.0111036398021
146,146,111,279,156,131,155,0.0117018068589
147,147,4066,287,20,41,19,0.00587565407084
148,148,11341,303,140,237,136,0.00662987170273
149,149,2265,319,148,96,147,0.0137787987484
150,150,96,265,82,94,80,0.00979492342559
151,151,4146,130,90,112,91,0.0536044019864
152,152,9728,142,94,188,92,0.00768466197316
153,153,8036,166,102,82,103,0.00808407451285
154,154,6196,194,126,253,122,0.0110690652671
155,155,10037,214,22,5,27,0.00912403788236
156,156,1204,226,82,148,79,0.00210418593507
157,157,12313,226,114,37,115,0.00485234046956
158,158,9998,234,106,130,104,0.00674418745439
159,159,2358,258,130,54,130,0.00536547060845
160,160,12025,270,18,118,13,0.0126169852984
161,161,55,270,170,82,170,0.0170708364374
162,162,12375,270,182,138,182,0.0249876476387
163,163,12245,282,146,276,142,0.00135285485462
164,164,10039,290,2,9,3,0.0491336041068
165,165,10776,290,30,341,11,0.00253340942232
166,166,6280,290,186,261,186,0.0634508806189
167,167,7760,298,190,369,190,0.20718056292
168,168,9285,302,150,170,148,0.0111169146183
169,169,8458,310,82,84,79,0.00328138161179
170,170,14024,310,178,144,178,0.00345744018165
171,171,2134,318,22,205,9,0.0078602651542
172,172,10372,318,70,157,63,0.0195696481537
173,173,953,322,174,256,173,0.0152610730025
174,174,1747,322,178,156,178,0.00203065401975
175,175,953,326,174,256,173,0.00132573728252
176,176,4347,346,2,9,2,2.45222438332
177,177,6268,346,42,261,26,0.00375229380143
178,178,9095,145,90,76,92,0.014199334413
179,179,5948,221,122,229,118,0.0215875661628
180,180,1998,229,126,151,124,0.0103698340479
181,181,13687,233,182,74,182,0.00980293852868
182,182,7155,249,30,329,14,0.0329898061482
183,183,9332,257,138,152,136,0.0381416941831
184,184,3946,273,130,174,127,0.00300079451544
185,185,12375,273,182,138,182,0.00378171294625
186,186,10555,285,62,257,51,0.000612572237193
187,187,10960,293,150,172,148,0.00413986226368
188,188,10447,305,142,193,139,0.00964810031425
189,189,9945,305,146,97,145,0.00384110125028
190,190,129,309,82,85,79,0.0126294029327
191,191,1827,313,22,51,19,0.00516210406871
192,192,4279,313,50,5,50,0.000471899042309
193,193,1526,313,126,62,125,0.00210293502168
194,194,6833,313,186,305,186,0.0110376372048
195,195,3854,325,150,162,148,0.00543444105449
196,196,9543,333,158,278,155,0.00792789118957
197,197,6234,337,110,257,102,0.00856564732486
198,198,14021,337,174,132,174,0.0262153512937
199,199,2421,143,100,68,102,0.000289589226798
200,200,12567,187,96,185,93,0.025984202524
201,201,226,191,112,162,110,0.00153762169857
202,202,1955,235,108,163,105,0.00719782143498
203,203,9251,235,124,66,124,0.00358591181073
204,204,81,239,164,67,164,0.0175066702626
205,205,9565,255,116,89,115,0.00202152133508
206,206,4010,259,44,104,41,0.00132808599563
207,207,1823,271,156,275,153,0.00341531794299
208,208,8131,271,160,65,160,0.00863636535813
209,209,7160,279,64,329,50,0.00974523263166
210,210,2050,311,28,71,24,0.00175878831894
211,211,736,323,44,69,40,0.0120521789717
212,212,9728,142,94,188,92,0.00768466197316
213,213,10037,214,22,5,27,0.00912403788236
214,214,1092,230,18,185,11,0.014249088499
215,215,12208,230,26,123,23,1.56586308018e-05
216,216,8083,246,126,60,126,0.0060019824163
217,217,392,254,26,152,20,0.0116967914746
218,218,112,254,98,139,95,0.014940177896
219,219,9633,270,46,226,36,0.0119538139901
220,220,698,270,86,194,80,0.000804685586922
221,221,55,270,170,82,170,0.0170708364374
222,222,3842,274,6,51,5,0.00361345964888
223,223,12333,274,154,261,151,0.0102880209852
224,224,12245,282,146,276,142,0.00135285485462
225,225,6461,286,62,277,50,0.00210718903614
226,226,2007,298,50,207,40,0.00912014692081
227,227,4031,298,170,200,169,0.00132065445732
228,228,4459,306,114,21,114,0.00736488220101
229,229,10447,306,142,193,139,0.00127245928044
230,230,13600,318,142,135,140,0.0110746560952
231,231,953,326,174,256,173,0.00132573728252
232,232,13760,334,90,99,86,0.00443088868342
233,233,2323,338,130,138,127,0.0137698747782
234,234,12607,197,91,121,90,0.0108435162369
235,235,8724,293,103,87,101,0.00152480244776
236,236,13671,176,96,136,95,0.000143492452744
237,237,4146,208,92,112,91,0.0353806108336
238,238,8825,216,108,111,107,0.00649010331984
239,239,10722,224,184,317,183,0.0126731554297
240,240,7051,256,132,321,126,0.00071908044992
241,241,3989,260,84,124,81,0.0156644187242
242,242,14006,264,44,80,42,0.0769337243022
243,243,11609,304,52,70,49,0.00609023209687
244,244,2299,152,98,212,95,0.00612540968968
245,245,9767,244,126,102,125,0.0141281808222
246,246,10642,296,42,289,27,0.0165607130752
247,247,968,320,86,130,81,0.00228499328403
248,248,1430,199,101,60,102,0.0139493236968
249,249,4348,287,5,9,6,0.113183974974
250,250,8583,295,25,51,23,0.00510488357512
251,251,1348,307,113,155,109,0.0112645408087
252,252,918,230,20,186,13,0.00376813679124
253,253,11753,274,8,97,4,0.083631445897
254,254,8502,302,4,42,2,0.0619929299842
255,255,12170,306,80,85,77,0.0177109711527
256,256,7232,310,140,333,134,0.0254159998841
257,257,7929,322,80,27,79,0.0649696365445
258,258,4347,346,4,9,2,0.440192793952
259,259,13516,307,49,85,45,0.00354251177325
260,260,3921,227,117,71,117,0.0066496713346
261,261,9690,259,45,160,39,0.00884622344192
262,262,9980,263,169,74,169,0.0211907810711
263,263,6921,267,41,313,26,0.00497253610625
264,264,4209,275,149,114,148,0.003987883544
265,265,13049,279,25,81,22,0.000385366039558
266,266,9170,283,17,153,9,0.00599524876425
267,267,4347,287,1,9,2,0.136509968481
268,268,11737,295,117,205,112,0.0337234412791
269,269,1933,299,65,187,57,0.00252309443409
270,270,13426,299,169,85,169,0.00167357509139
271,271,4347,303,1,9,2,0.830443959438
272,272,13342,303,149,44,149,0.0107054866586
273,273,13516,307,49,85,45,0.00354251177325
274,274,8473,307,177,135,177,0.0140131748879
275,275,8106,311,97,97,94,0.00906265582751
276,276,10696,319,169,305,167,0.00203808410821
277,277,10845,323,173,365,171,0.0283266323987
278,278,3780,331,73,106,68,0.0263001957859
279,279,12232,339,17,148,6,0.0674973987112
280,280,438,351,29,37,25,0.00265583585801
281,281,12806,199,119,49,120,0.0290922408321
282,282,11581,203,111,187,108,0.00977526232035
283,283,800,207,91,59,92,0.00551131451378
284,284,6625,223,183,289,182,0.012288399095
285,285,7283,227,99,337,90,0.0540850651377
286,286,11605,227,175,204,174,0.0235399058456
287,287,8200,247,91,112,89,0.0128409724179
288,288,11833,259,87,75,86,0.00296261245515
289,289,11628,259,103,141,100,0.00451818582683
290,290,5898,259,115,225,110,0.00773544709944
291,291,9482,283,63,114,59,0.0142922237282
292,292,8965,315,71,182,63,0.0223594567936
293,293,9472,315,171,98,171,0.000814529976862
294,294,37,319,63,167,55,0.0200337217156
295,295,3522,323,87,104,83,0.0135470544665
296,296,303,327,171,103,171,0.00515483883626
297,297,3324,335,163,69,163,0.0160939332486
298,298,1182,343,99,104,95,0.0245338326382
299,299,86,130,115,95,116,0.0235741547956
300,300,10735,162,83,325,75,0.0128312789052
301,301,11748,166,103,81,104,0.00443616985565
302,302,8130,194,107,61,108,0.0122787593698
303,303,10029,198,123,87,123,0.000347098011787
304,304,6277,206,115,261,110,0.0169611825645
305,305,12606,214,111,113,110,0.00225245446366
306,306,8353,214,167,66,167,0.00316151405094
307,307,1983,218,119,39,120,0.00104895917714
308,308,3030,222,107,107,106,0.0140483986207
309,309,1119,234,27,120,24,0.00855723361209
310,310,4167,238,27,133,23,0.0103889546155
311,311,1220,242,31,200,23,0.020463358725
312,312,8372,254,27,186,19,0.0015527438224
313,313,10488,258,131,229,127,0.0155530716594
314,314,7639,266,47,361,30,0.0806038870962
315,315,12168,270,47,77,45,0.0133423675871
316,316,7829,270,183,373,182,0.0189105454306
317,317,615,274,7,66,5,0.00717219069389
318,318,9482,282,63,114,59,0.0236905905056
319,319,8502,286,3,42,2,0.105721869981
320,320,12623,286,19,215,7,0.0167725826094
321,321,12199,286,111,165,107,0.00184049004659
322,322,587,286,171,88,171,0.000774064640384
323,323,12306,290,63,108,59,0.000913820153051
324,324,11944,298,139,137,137,0.0077578483113
325,325,10050,302,3,13,3,0.0508963672535
326,326,12690,302,139,86,138,0.0132859788174
327,327,7040,306,79,321,66,0.0304628520816
328,328,11417,310,51,293,36,0.0242273682256
