,XL,YL
0,545.43536377,431.76663208
1,548.642211914,442.878997803
2,632.533081055,367.768829346
3,632.533081055,367.768829346
4,616.700317383,378.170501709
5,553.529968262,445.689880371
6,568.842102051,439.763122559
7,553.755310059,472.415405273
8,553.755310059,472.415405273
