,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,1,5,148.353087738,170.092057762,1.91696750903,132.413235737,157.071161049,3.94007490637
1,2,6,139.783956316,119.835249042,2.9061302682,117.28737922,212.175475687,4.98308668076
2,4,8,145.943019525,206.078899083,3.94311926606,133.15713032,194.983240223,10.9962756052
3,5,13,122.377908116,145.146608315,6.97592997812,89.267349935,278.822222222,13.9805555556
4,7,11,141.926239171,165.918867925,10.1358490566,108.856573948,173.979498861,13.1753986333
5,8,14,120.23562526,126.13363029,11.0757238307,80.8365446633,243.165644172,15.0153374233
6,9,15,153.441009519,175.904013962,11.0331588133,76.6211420275,240.177993528,18.0129449838
7,10,21,121.306766688,145.028697572,13.9028697572,120.01499269,266.98553719,20.152892562
8,11,18,122.91347883,130.145969499,16.0108932462,93.4827525708,210.047745358,18.8037135279
9,14,20,127.733615254,122.014675052,18.1572327044,175.311156678,201.893917963,19.9773691655
10,15,27,123.7168349,140.075757576,18.1666666667,78.604860915,281.90851735,25.1608832808
11,16,23,211.282646615,159.929024081,18.1267427123,103.401347008,219.067146283,22.9064748201
12,17,29,147.817517024,201.023550725,17.9800724638,83.8121229945,253.937869822,26.926035503
13,18,32,68.8208367303,171.887159533,20.0856031128,102.161522703,306.866504854,29.9902912621
14,19,31,160.403428799,183.954924875,20.8848080134,62.2391800935,283.956175299,29.9800796813
15,21,28,108.720854912,149.236453202,24.0369458128,110.096398253,204.993243243,27.1238738739
16,23,33,171.65041379,167.887675507,25.0655226209,94.2266471536,245.863157895,30.8526315789
17,25,36,134.696034534,144.950298211,26.986083499,67.4464421731,297.977941176,35.0036764706
18,29,39,107.381928128,147.0,31.1496259352,55.0481991266,284.905405405,38.0495495495
19,30,44,160.135643442,182.086956522,31.0418060201,101.913557842,309.929440389,41.1800486618
20,31,37,174.32826736,157.125960061,32.1167434716,120.01499269,210.97107438,35.9380165289
21,32,43,199.500090911,193.06442953,34.0536912752,101.417628121,219.070904645,40.0733496333
22,33,46,182.897398781,202.002928258,37.9590043924,58.5197071796,244.050847458,45.9237288136
23,36,49,178.077262356,257.078195489,41.9744360902,109.848433392,172.893905192,49.1106094808
24,37,51,154.779936304,187.982698962,44.9083044983,111.336222558,284.08908686,53.131403118
25,41,55,63.4651295917,170.995780591,46.9282700422,173.32743779,300.077253219,55.0729613734
26,42,52,111.130923125,117.865060241,48.0698795181,119.271098108,295.952182952,52.9168399168
27,43,61,144.068522027,204.832713755,49.8717472119,128.445797962,320.996138996,59.9961389961
28,44,62,196.554451984,227.128065395,52.0435967302,110.096398253,266.869369369,60.8333333333
29,46,60,159.332287372,171.959663866,53.8319327731,60.751390928,271.951020408,60.0326530612
30,47,67,100.419508848,198.832,54.12,120.758887273,357.934291581,64.8110882957
31,49,59,204.588012692,177.111256545,56.1793193717,119.023133247,163.945833333,58.9875
32,50,53,75.5154706534,72.9007092199,57.0496453901,128.445797962,143.046332046,53.9864864865
33,51,63,162.277926298,205.120462046,56.9339933993,138.61235726,216.039355993,62.1645796064
34,52,71,153.708794876,238.071428571,56.8658536585,109.600468531,318.902714932,67.9140271493
35,55,70,145.675234168,183.009191176,60.8805147059,116.295519776,275.921108742,67.9402985075
36,56,69,241.006821234,202.98,62.0744444444,106.6248902,232.997674419,68.0093023256
37,58,79,242.881318733,215.936052922,63.9228224917,127.94986824,336.967054264,73.9689922481
38,61,84,147.549731667,226.163339383,66.1615245009,92.738857988,343.152406417,76.9919786096
39,62,73,137.641673461,186.009727626,67.0116731518,115.055695472,207.9375,70.9806034483
40,66,85,120.503410617,206.02,69.8577777778,105.385065895,303.115294118,78.0564705882
41,67,76,149.424229165,213.860215054,70.935483871,149.522811141,137.998341625,73.9966832504
42,68,93,159.332287372,241.11092437,71.068907563,111.83215228,352.875831486,81.9889135255
43,69,82,177.809477,293.954819277,71.0858433735,114.807730611,120.110151188,76.8747300216
44,70,77,156.118863088,183.914236707,71.974271012,160.681229883,150.13117284,74.0462962963
45,73,89,117.022200977,208.816933638,73.0274599542,110.096398253,313.97972973,81.0765765766
46,75,96,152.102082735,226.121478873,74.9225352113,129.437657406,329.022988506,84.0
47,83,92,151.834297378,162.059964727,78.9206349206,121.254816995,215.981595092,82.1472392638
48,84,83,123.7168349,48.0584415584,79.9025974026,82.5722986898,159.144144144,76.8708708709
49,85,90,120.771195974,180.842572062,80.0687361419,109.35250367,154.120181406,81.9501133787
50,86,105,142.194024528,209.043314501,79.9322033898,96.9542606238,304.056265985,87.1662404092
51,88,102,115.147703479,184.944186047,82.1046511628,91.4990336833,214.056910569,86.0948509485
52,89,97,215.299426969,214.980099502,82.0049751244,165.392562241,136.973013493,85.0209895052
53,91,100,160.403428799,136.016694491,83.020033389,105.633030756,203.046948357,84.882629108
54,92,116,113.005420623,281.857819905,82.8601895735,143.075724757,243.076256499,90.993067591
55,94,103,142.461809885,159.95112782,85.0977443609,99.1859443722,187.9325,86.95
56,97,119,131.482610251,171.926680244,86.1262729124,115.799590055,308.944325482,91.9164882227
57,98,107,134.428249177,226.828685259,85.8446215139,151.506530029,123.968903437,88.8821603928
58,101,106,191.466530203,70.9398601399,86.9230769231,140.844041009,264.920774648,88.0492957746
59,103,115,153.976580233,214.057391304,86.9982608696,85.7958418819,185.228323699,90.9739884393
60,104,118,174.863838073,123.029096478,89.0995405819,59.0156369015,256.886554622,91.8865546218
61,105,110,132.821537036,147.91733871,88.9556451613,101.913557842,167.802919708,90.0900243309
62,108,113,105.507430629,159.043147208,90.0837563452,106.872855061,141.979118329,91.0556844548
63,109,135,144.604092741,227.151851852,90.0240740741,91.7469985443,322.932432432,97.8594594595
64,113,114,104.436289202,85.9846153846,92.0333333333,97.2022254847,159.18877551,90.8647959184
65,115,131,121.842337402,189.061538462,93.1296703297,123.486500743,217.012048193,96.9477911647
66,118,129,136.302746676,194.047151277,93.9508840864,93.9786822926,180.166226913,97.0395778364
67,119,121,198.161164126,56.9405405405,94.9418918919,122.990571022,164.014112903,92.9455645161
68,121,126,84.0846020751,89.1242038217,95.1082802548,97.9461200675,195.921518987,94.9949367089
69,122,125,97.2060845645,112.013774105,94.9862258953,90.0112445178,160.300275482,94.9035812672
70,123,124,117.825557048,122.886363636,94.9772727273,88.7714202131,155.865921788,94.8994413408
71,124,130,126.39468847,145.059322034,95.0063559322,101.16966326,190.914215686,96.943627451
72,125,144,150.495370593,211.010676157,94.9306049822,113.567906306,324.061135371,102.048034934
73,128,140,174.863838073,283.929555896,95.9770290965,120.510922412,139.87654321,100.96090535
74,130,127,103.097362417,86.0051948052,97.8779220779,129.933587128,134.935114504,96.0858778626
75,132,146,94.5282309953,208.130311615,98.1558073654,115.303660333,241.088172043,102.929032258
76,133,152,119.967839903,234.024553571,98.0513392857,69.4301610605,353.985714286,106.114285714
77,134,151,105.775215986,248.032911392,98.0329113924,89.5153147959,332.058171745,105.88365651
78,135,141,111.130923125,114.937349398,100.951807229,177.790805287,162.092050209,100.90237099
79,136,137,171.918199147,52.8582554517,102.018691589,159.441405578,122.027993779,99.0482115086
80,138,145,142.997380599,130.964419476,102.0917603,77.6130014712,169.939297125,103.194888179
81,139,138,144.336307384,2.00927643785,102.940630798,121.006852134,169.954918033,98.856557377
82,141,142,109.524210983,95.9144254279,104.075794621,142.083865313,117.040139616,102.136125654
83,142,148,128.001400611,107.025104603,104.89958159,95.2185065973,126.075520833,103.919270833
84,148,153,132.285966322,99.016194332,108.099190283,225.152093725,134.029735683,107.04845815
85,149,167,210.479290545,252.050890585,109.044529262,164.648667658,381.137048193,116.989457831
86,150,155,105.507430629,85.8426395939,110.012690355,173.575402651,154.065714286,109.092857143
87,151,165,111.398708482,256.038461538,110.084134615,97.9461200675,269.141772152,115.82278481
88,154,161,155.315507018,43.0655172414,112.070689655,100.673733538,368.842364532,113.928571429
