,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,0,0,144.071561699,234.976576577,5.9963963964,150.799060653,245.08245614,17.0175438596
1,2,2,150.301683286,204.941278066,11.1398963731,114.025254634,227.972157773,18.8399071926
2,3,3,80.2128154324,198.857605178,18.0291262136,102.913744902,224.94344473,25.9614395887
3,4,5,115.776426158,214.905829596,19.9596412556,90.4794363919,235.137426901,28.9298245614
4,5,4,123.304489742,189.084210526,20.8631578947,118.787330234,216.066815145,27.1269487751
5,7,6,93.9710006037,201.988950276,23.044198895,134.925475321,245.941176471,31.1137254902
6,8,7,135.505144517,207.026819923,23.9195402299,138.629311899,231.127862595,31.8416030534
7,9,8,76.57857784,190.894915254,27.1050847458,90.7439961475,224.040816327,34.1224489796
8,12,9,91.3751166091,193.96875,31.9488636364,86.2464803034,214.156441718,38.0398773006
9,14,11,91.1155282096,201.92022792,33.094017094,152.650978942,225.994800693,40.0
10,15,14,96.0477077993,208.051351351,36.0594594595,97.8871095468,237.916216216,43.972972973
11,16,13,65.4162766633,183.853174603,38.119047619,73.0184925268,228.010869565,44.0507246377
12,17,15,107.729185775,197.093975904,41.9614457831,105.823902213,222.92,48.19
13,20,17,125.640785338,167.080578512,49.7665289256,153.180098453,215.153713299,53.9360967185
14,22,19,108.767539373,153.119331742,52.8591885442,106.088461968,208.099750623,56.1546134663
15,24,22,132.649672123,162.017612524,54.0019569472,124.3430851,267.029787234,60.1404255319
16,25,20,94.2305890031,187.953168044,54.1570247934,138.629311899,220.828244275,59.0458015267
17,28,27,191.057062001,151.845108696,58.902173913,90.4794363919,262.847953216,63.8684210526
18,30,24,76.8381662395,147.817567568,59.875,171.170161829,213.956723338,62.8655332303
19,31,28,75.0210474433,160.861591696,61.0415224913,143.126827743,246.105360444,65.1201478743
20,32,32,87.2217022178,166.255952381,62.0625,83.071763237,264.041401274,67.8598726115
21,33,35,163.281103259,183.882352941,62.1001589825,160.587771608,286.072487644,68.9983525535
22,34,34,168.472871248,172.996918336,63.0523882897,96.0351912581,270.917355372,69.0247933884
23,35,36,155.233862876,157.015050167,64.8846153846,120.110129012,295.04845815,71.140969163
24,36,37,138.62020531,180.119850187,66.9157303371,102.120065635,239.937823834,72.0699481865
25,38,46,110.584658169,186.091549296,69.9812206573,148.153463098,267.892857143,75.9910714286
26,40,44,117.074368155,202.022172949,71.0731707317,113.231575368,216.044392523,76.1285046729
27,41,48,71.6463982503,147.173913043,72.8949275362,98.6807888134,262.951742627,77.1233243968
28,44,51,138.101028511,192.041353383,74.9022556391,125.401324122,268.061181435,80.970464135
29,45,50,89.2984094134,137.941860465,77.9069767442,92.8604741917,208.031339031,80.0512820513
30,47,56,144.331150098,184.854316547,78.0413669065,50.2663535511,291.894736842,84.1368421053
31,48,58,131.870906925,198.99015748,78.1279527559,115.348053412,298.052752294,84.9793577982
32,49,54,96.3072961988,177.921832884,79.1482479784,125.136764367,214.038054968,83.0
33,51,57,82.2895226281,202.933753943,78.8958990536,80.1616059262,265.887788779,85.0231023102
34,52,59,73.4635170465,153.081272085,81.1448763251,142.597708232,287.936920223,86.038961039
35,54,66,132.390083723,205.029411765,83.8529411765,78.0451278819,308.220338983,91.0203389831
36,56,62,136.543498115,135.969581749,84.8365019011,196.832458116,208.98655914,86.9274193548
37,57,64,113.699718962,102.034246575,87.0136986301,77.2514486153,282.106164384,89.8595890411
38,59,67,95.268942601,147.983651226,88.9945504087,154.238337475,236.089193825,91.9313893654
39,60,68,121.487370946,190.833333333,88.8739316239,87.3047193255,216.051515152,93.0606060606
40,61,76,132.390083723,200.001960784,90.0980392157,123.020286322,298.141935484,96.0774193548
41,63,83,134.466790919,238.926640927,90.8436293436,99.47446808,313.109042553,98.9042553191
42,66,81,126.679138935,134.954918033,93.0860655738,71.6956937492,292.89298893,96.8339483395
43,67,82,120.189428949,118.96112311,94.9136069114,93.6541534583,285.039548023,97.8305084746
44,70,78,95.0093542015,145.980874317,95.9234972678,118.787330234,170.008908686,97.1091314031
45,72,92,80.7319922313,170.096463023,97.1350482315,93.6541534583,339.096045198,102.985875706
46,75,88,115.257249359,135.954954955,98.8693693694,98.6807888134,220.091152815,100.962466488
47,78,90,185.605705612,219.125874126,98.9678321678,92.0667949251,188.951149425,102.922413793
48,83,95,131.870906925,106.05511811,100.960629921,95.506071747,312.152354571,103.87534626
49,84,94,205.334423971,145.99494311,100.992414665,97.8871095468,250.989189189,103.916216216
50,87,93,176.779700031,161.859030837,101.80763583,242.601295823,194.044711014,104.009814613
51,88,111,168.992048047,206.9093702,102.01843318,110.056858301,324.033653846,108.175480769
52,89,110,170.030401645,213.071755725,101.99389313,144.714186276,304.822669104,108.031078611
53,91,108,120.189428949,119.889848812,102.885529158,109.52773879,354.980676329,107.106280193
54,92,96,241.676799895,137.068743287,103.093447905,192.070382516,218.949035813,104.922865014
55,94,112,101.758652587,126.941326531,103.885204082,67.7272974162,347.93359375,108.16796875
56,95,116,151.340036884,157.013722127,103.881646655,71.6956937492,343.081180812,108.904059041
57,96,109,100.979887389,184.079691517,104.023136247,149.740821631,241.865724382,107.835689046
58,99,122,106.690832177,173.907542579,105.102189781,80.1616059262,351.069306931,110.930693069
59,103,121,100.72029899,179.865979381,105.850515464,125.665883878,334.957894737,111.153684211
