,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,1,0,108.959684869,203.005249344,41.8713910761,101.999020094,239.94129979,49.0188679245
1,2,2,136.414093655,197.018867925,44.9622641509,137.281700001,232.018691589,51.8411214953
2,3,4,108.673701444,206.039473684,47.9368421053,75.9112204055,244.904225352,55.0197183099
3,4,5,102.668049522,186.922005571,49.8690807799,101.78518567,231.046218487,55.9222689076
4,6,6,115.537303641,200.136138614,50.0173267327,191.167974768,241.017897092,57.0313199105
5,7,7,115.251320216,211.866004963,51.0099255583,124.023965733,252.018965517,58.9068965517
6,8,8,77.78749156,191.992647059,53.9889705882,71.2068630846,228.900900901,60.2282282282
7,10,9,72.6397899126,187.897637795,57.0511811024,106.917211839,237.95,63.142
8,11,10,89.7987954038,196.127388535,58.025477707,74.200545016,245.195965418,65.0864553314
9,13,11,175.879806284,192.032520325,65.9333333333,110.980065889,237.030828516,71.8034682081
10,14,12,143.849662701,171.049701789,69.1530815109,132.791177104,231.987117552,74.1030595813
11,19,14,101.238132398,163.138418079,74.895480226,134.92952134,236.980982567,79.0142630745
12,21,16,78.0734749848,158.106227106,78.1648351648,137.923203272,242.181395349,81.8682170543
13,22,21,200.760364247,162.935897436,79.905982906,101.357516823,269.006329114,84.9957805907
14,23,20,50.0470993492,168.994285714,80.8628571429,77.6218957949,254.013774105,85.0330578512
15,24,22,185.603242729,178.946070878,83.0662557781,76.5527236765,258.740223464,87.1284916201
16,25,25,72.0678230629,157.107142857,86.130952381,171.709042213,252.00996264,89.8555417186
17,26,27,116.68123734,171.095588235,85.8382352941,182.186928973,287.080985915,91.0328638498
18,27,29,146.709496949,188.947368421,88.044834308,80.6155777264,257.116710875,93.0185676393
19,28,33,76.9295412854,150.026022305,90.063197026,158.451307945,282.026990553,94.1349527665
20,29,36,166.156369839,180.111876076,89.9552495697,168.929194705,274.107594937,94.8708860759
21,30,34,127.548607484,154.926008969,91.8430493274,150.111765422,230.075498575,95.0854700855
22,32,41,65.2042208664,185.039473684,94.0570175439,117.395098599,301.872495446,99.8142076503
23,33,40,105.241900346,188.932065217,95.1032608696,94.087146418,273.018181818,99.9181818182
24,35,42,165.298419565,149.937716263,96.8615916955,122.313290343,289.991258741,101.141608392
25,36,38,78.3594584097,160.99270073,97.0255474453,91.5211333339,222.179906542,99.8294392523
26,39,49,106.385834045,182.080645161,98.1962365591,142.199891745,304.857142857,103.884210526
27,40,43,79.5033921091,92.7985611511,99.9928057554,86.3891071657,297.868811881,102.002475248
28,41,44,93.5165799269,187.070336391,99.871559633,72.917538474,198.08797654,103.093841642
29,42,45,62.6303700428,105.831050228,101.96803653,107.344880686,212.09561753,102.876494024
30,43,47,126.11869036,148.009070295,101.931972789,151.608606387,193.93370945,103.809590973
31,44,51,103.811983222,97.9338842975,102.983471074,75.9112204055,282.104225352,104.935211268
32,45,58,88.9408451292,200.077170418,103.125401929,75.4835515581,291.121813031,108.164305949
33,49,59,130.694425158,176.129102845,104.006564551,168.07385701,305.905852417,108.977099237
34,50,56,93.8025633517,89.0731707317,105.045731707,38.7040306856,300.071823204,106.983425414
35,51,57,172.448005186,137.00331675,106.029850746,70.7791942372,244.027190332,108.090634441
36,52,66,280.549739781,194.074413863,106.127420999,77.1942269475,287.908587258,110.950138504
37,56,62,161.294651617,150.953900709,107.875886525,144.124401559,220.992581602,110.100890208
38,59,69,138.415977629,129.059917355,108.902892562,122.740959191,298.851916376,111.968641115
39,62,65,77.78749156,100.970588235,109.996323529,172.13671106,235.998757764,111.060869565
40,66,77,125.832706935,231.011363636,110.147727273,61.1566451717,302.748251748,115.842657343
41,67,68,114.679353366,114.029925187,111.032418953,183.042266668,214.0,111.996495327
42,69,70,153.001132296,108.917757009,111.985046729,67.3578434584,241.044444444,113.26984127
43,70,74,110.389601993,185.049222798,112.191709845,42.3392158881,208.166666667,115.156565657
44,71,83,93.230596502,224.030674847,112.159509202,66.930174611,330.801916933,118.159744409
45,74,76,118.683121314,98.9614457831,114.893975904,125.306972275,252.052901024,116.013651877
46,75,81,73.4977401872,176.031128405,114.926070039,65.2194992216,246.049180328,117.91147541
47,77,85,217.347402888,207.143421053,116.096052632,163.155665266,238.093053735,120.009174312
48,78,84,156.14694997,232.023809524,116.095238095,148.614924456,195.132374101,119.962589928
49,79,78,157.862850519,79.0416666667,117.132246377,109.269390499,190.923679061,116.945205479
50,80,80,197.614546573,128.835021708,116.965267728,163.155665266,202.138925295,118.132372215
51,81,91,169.588170938,211.951096121,116.976391231,133.005011527,303.943729904,121.890675241
52,82,89,102.382066097,83.9217877095,118.944134078,58.1629632402,334.948529412,121.106617647
53,85,90,126.976640635,224.047297297,119.036036036,70.3515253899,199.240121581,122.145896657
54,86,92,144.707612976,102.067193676,120.045454545,76.3388892528,310.955182073,122.145658263
55,87,94,127.548607484,115.143497758,120.006726457,97.0808283495,340.026431718,122.977973568
56,89,86,157.862850519,95.0362318841,121.128623188,93.445643147,183.171624714,121.013729977
57,91,102,116.10927049,208.078817734,121.100985222,78.2633990659,334.964480874,126.010928962
58,94,99,74.3556904617,151.146153846,122.9,66.0748369163,244.03236246,125.025889968
59,95,100,153.859082571,65.0092936803,124.072490706,111.835403583,327.868068834,124.86042065
60,96,97,73.4977401872,80.0544747082,125.035019455,181.759260126,193.021176471,124.927058824
61,98,103,97.8063312997,174.038011696,124.792397661,97.7223316206,198.18380744,126.912472648
62,100,96,118.969104739,71.0048076923,125.879807692,187.105120718,187.142857143,125.209142857
63,105,114,87.2249445801,221.986885246,127.190163934,63.0811549848,332.813559322,131.898305085
64,107,107,183.029391906,217.15,127.9796875,173.419717602,195.001233046,131.123304562
65,108,111,126.404673785,251.819004525,128.009049774,112.049238007,251.019083969,131.979007634
66,110,106,91.5146959529,131.165625,128.890625,121.244118225,187.155202822,129.830687831
67,111,110,117.25320419,61.9268292683,130.002439024,107.986383957,339.98019802,130.891089109
68,112,113,94.9464970511,120.018072289,129.870481928,89.1689546735,319.944844125,131.980815348
69,115,118,154.145065996,128.792207792,132.141001855,111.193900312,379.176923077,134.934615385
70,116,116,120.970988713,176.040189125,132.033096927,100.288344705,237.208955224,134.014925373
71,117,119,117.25320419,246.070731707,131.897560976,129.369826325,349.823140496,137.107438017
72,119,121,98.9502649991,241.88150289,133.043352601,150.967103116,361.866855524,137.845609065
73,122,120,89.5128119789,230.884984026,133.830670927,92.804139876,332.942396313,138.011520737
74,123,125,94.9464970511,127.009036145,137.222891566,77.8357302186,259.92032967,138.898351648
75,124,127,114.965336791,228.029850746,137.072139303,65.8610024926,381.931818182,141.107142857
76,126,128,180.455541082,236.938193344,138.04437401,88.7412858261,342.915662651,142.019277108
77,128,131,66.062171141,152.017316017,141.857142857,188.815796107,278.995469989,144.004530011
78,130,132,131.552375432,245.095652174,141.939130435,135.784859035,380.918110236,146.113385827
79,131,134,74.3556904617,239.984615385,142.884615385,69.7100221188,359.055214724,146.911042945
80,132,136,73.783723612,236.162790698,144.127906977,66.5025057637,353.938906752,147.987138264
81,133,135,109.817635143,122.984375,147.161458333,113.332244549,237.086792453,148.060377358
