,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,0,1,88.732989082,198.938953488,58.1046511628,129.628044669,255.063596491,65.1184210526
1,1,0,135.420986244,211.036190476,58.020952381,74.1949992514,245.896551724,64.8927203065
2,2,2,161.989294022,192.867834395,61.949044586,138.724749558,239.008196721,67.9385245902
3,5,3,91.312436439,185.036723164,64.8898305085,142.136013892,246.846,70.934
4,6,5,116.333075802,205.042128603,66.0354767184,119.678523697,255.023752969,72.8978622328
5,8,6,152.445338801,197.011844332,69.10321489,177.670017364,244.112,75.1232
6,10,7,73.2563049398,192.933098592,70.8063380282,56.8544055566,249.315,77.0
7,11,8,181.3351492,188.975817923,77.9672830725,139.577565642,242.034623218,82.9979633401
8,13,9,92.3442153818,185.958100559,83.1005586592,177.670017364,241.9456,87.9088
9,15,10,79.9628680681,163.883870968,88.1419354839,81.8703440015,238.121527778,91.9166666667
10,17,13,200.938949113,168.098844673,90.028241335,125.363964252,244.0,94.0997732426
11,18,15,210.482904334,181.004901961,91.993872549,54.5802293344,269.057291667,96.90625
12,19,16,75.3198628254,162.938356164,93.9931506849,90.9670488906,239.153125,97.9125
13,20,20,165.858465057,174.017107309,95.0311041991,65.3825663901,277.834782609,100.034782609
14,21,23,66.0338523401,156.9609375,97.1171875,156.065343253,288.045537341,101.890710383
15,22,22,108.594733731,160.954869359,98.8194774347,107.73909853,238.978891821,101.970976253
16,24,25,142.127549373,183.083484574,99.1070780399,146.115822281,283.89688716,104.101167315
17,25,24,187.267878121,190.973829201,99.0192837466,135.029213197,277.058947368,104.174736842
18,26,28,151.413559858,157.023850085,102.955706985,114.845899224,237.217821782,106.116336634
19,29,33,77.383420711,186.953333333,103.78,117.404347474,300.13559322,109.121065375
20,31,29,200.681004377,201.051413882,105.007712082,128.20668453,202.057649667,108.106430155
21,32,36,81.2525917466,196.2,105.920634921,177.670017364,290.8448,110.9424
22,33,32,88.4750443463,155.084548105,106.737609329,66.5196545012,214.111111111,109.02991453
23,36,40,124.84525208,190.132231405,108.078512397,129.343772641,302.916483516,112.986813187
24,37,34,171.275304507,107.051204819,108.959337349,85.8501523905,198.102649007,110.062913907
25,38,38,84.6058733107,185.902439024,108.984756098,81.8703440015,253.850694444,112.913194444
26,43,42,49.5253892551,180.3125,110.953125,170.847488698,226.106489185,113.93344426
27,44,37,82.0264259537,94.8553459119,112.012578616,293.084460644,218.86614937,112.974781765
28,47,41,122.007859988,158.894291755,111.761099366,248.73802431,210.849142857,114.056
29,49,47,229.570814776,126.914606742,112.966292135,66.803926529,291.906382979,116.191489362
30,51,50,90.2806574962,205.245714286,112.857142857,80.1647118348,304.90070922,117.843971631
31,52,45,209.709070127,116.097170972,114.020910209,135.313485225,205.852941176,115.075630252
32,54,48,248.658725218,196.058091286,114.918049793,71.6365510013,225.095238095,118.194444444
33,55,49,114.785407388,108.006741573,116.182022472,90.9670488906,253.1375,117.9625
34,56,52,93.8918837961,121.087912088,117.038461538,111.718906919,298.969465649,119.875318066
35,57,55,150.381780915,204.030874786,117.14922813,168.289040448,305.971283784,121.954391892
36,58,51,202.744562263,132.828244275,117.960559796,209.508484476,210.868385346,118.990502035
37,60,53,109.626512674,93.1788235294,120.096470588,168.573312475,203.011804384,120.979763912
38,61,57,80.9946470109,170.850318471,119.859872611,67.3724705846,249.004219409,122.746835443
39,64,56,98.7928337744,227.028720627,120.120104439,73.0579111403,207.124513619,123.050583658
40,66,59,65.7759076044,121.011764706,121.156862745,98.9266656685,299.123563218,124.048850575
41,68,60,80.2208128038,221.868167203,121.868167203,70.2151908624,210.886639676,124.931174089
42,72,66,174.1126966,77.0962962963,125.091851852,57.70722164,312.049261084,127.221674877
43,73,64,100.85639166,171.084398977,125.092071611,54.5802293344,205.697916667,126.984375
44,74,73,177.7239229,228.021770682,124.976777939,134.176397114,333.889830508,130.05720339
45,75,65,135.163041509,81.8759541985,126.118320611,132.470764947,251.819742489,127.10944206
46,77,70,74.0301391469,141.090592334,125.979094077,124.795420197,303.166287016,128.986332574
47,82,71,103.435839017,74.1047381546,129.922693267,162.035055836,202.028070175,129.975438596
48,84,74,88.732989082,116.066860465,131.034883721,115.130171252,236.041975309,132.061728395
49,86,77,61.3908470974,243.226890756,131.760504202,104.612106224,229.964673913,134.858695652
50,88,80,231.892317397,211.177975528,132.96996663,103.190746085,333.03030303,136.983471074
51,90,82,93.6339390604,226.137741047,134.958677686,115.130171252,253.022222222,137.992592593
52,92,83,127.940588909,244.836693548,135.887096774,82.4388880571,246.824137931,138.931034483
53,96,87,79.9628680681,143.996774194,139.958064516,156.349615281,267.850909091,141.86
54,97,91,115.559241595,237.912946429,139.991071429,96.3682174185,362.159292035,144.985250737
55,98,94,104.725562696,242.862068966,141.899014778,82.1546160293,335.993079585,146.048442907
56,100,92,140.579880958,232.126605505,143.851376147,92.1041370017,234.848765432,146.080246914
57,102,95,85.3797075179,118.882175227,145.827794562,95.7996733629,254.922848665,146.961424332
58,103,99,144.70699673,240.10516934,147.857397504,46.6206125564,350.31097561,150.890243902
59,104,102,98.276944303,117.86351706,152.162729659,118.825707613,245.007177033,152.983253589
60,106,103,143.159328315,106.016216216,153.10990991,92.3884090295,255.966153846,153.833846154
61,107,106,75.8357522968,226.959183673,153.884353741,95.2311293073,364.976119403,156.904477612
62,109,105,196.811833342,237.977719528,154.994757536,110.581818808,240.974293059,156.971722365
63,111,108,85.8955969893,107.174174174,158.954954955,131.902220891,250.045258621,158.898706897
64,112,110,79.9628680681,225.0,158.993548387,44.3464363342,354.820512821,161.243589744
65,113,111,188.041712328,244.987654321,159.164609053,136.734845364,365.0,161.929313929
66,114,113,76.0936970325,235.979661017,161.216949153,91.2513209184,303.140186916,163.009345794
