,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,0,0,88.113041076,199.097087379,56.1682847896,80.0631445841,245.0,62.9725085911
1,2,2,146.569912987,193.105058366,60.0038910506,116.655578363,238.096698113,65.9764150943
2,5,3,96.6677052581,197.008849558,62.8554572271,142.517899981,246.028957529,69.0888030888
3,6,4,123.757475168,205.99078341,64.1036866359,109.502170256,254.922110553,71.0427135678
4,8,5,151.987866969,197.161350844,68.04315197,157.374978358,243.907342657,73.9458041958
5,10,6,81.2693097303,193.203508772,69.0456140351,74.2853918822,249.059259259,75.8481481481
6,11,7,186.206523698,189.06431853,76.8392036753,107.301121608,241.866666667,81.8435897436
7,13,8,105.22236944,186.027100271,82.0189701897,160.126289168,240.945017182,86.1030927835
8,16,11,207.878339626,174.146776406,86.9368998628,93.5445675553,249.194117647,91.8882352941
9,17,12,205.026784898,167.847009736,88.9276773296,121.332806741,242.950113379,93.0158730159
10,19,15,90.1091293851,162.037974684,93.0379746835,91.343518907,238.162650602,96.9698795181
11,20,16,65.300603257,168.925764192,93.9170305677,160.951682411,257.916239316,98.0735042735
12,21,18,175.655771206,173.951298701,94.0211038961,51.7246432365,277.792553191,98.9361702128
13,22,19,65.0154477842,156.030701754,96.1842105263,68.7827702613,247.044,99.852
14,23,22,125.753563477,160.06122449,97.8934240363,113.629136472,237.956416465,101.046004843
15,24,25,69.2927798753,164.958847737,98.0205761317,84.7403729619,294.029220779,103.022727273
16,25,23,201.319763753,190.920679887,98.0084985836,129.861870253,276.974576271,103.161016949
17,27,27,168.812039861,156.108108108,102.097972973,107.301121608,236.166666667,105.215384615
18,30,31,80.9841542575,186.144366197,102.830985915,107.301121608,300.135897436,108.074358974
19,33,29,100.659881876,196.076487252,104.878186969,121.607937822,201.040723982,107.832579186
20,36,33,145.429291096,190.054901961,107.068627451,76.4864405305,197.133093525,109.888489209
21,39,37,148.280845824,139.925,109.196153846,48.4230702639,243.227272727,111.721590909
22,43,36,106.362991331,93.9973190349,111.050938338,246.517448616,217.925223214,112.042410714
23,44,41,93.2458395853,133.006116208,110.96941896,191.766363488,232.050215208,113.134863702
24,45,40,170.80812817,152.986644407,110.834724541,201.120820244,226.056087551,113.106703146
25,48,44,67.8670025116,200.915966387,110.878151261,264.400968884,209.96566077,113.955254943
26,50,45,100.945037349,205.231638418,111.805084746,119.406889174,204.80875576,114.891705069
27,53,48,86.1169527668,174.092715232,112.940397351,70.1584256665,289.031372549,116.976470588
28,56,51,112.636411731,107.926582278,116.015189873,103.449286473,253.079787234,117.912234043
29,57,56,161.968308515,204.036971831,116.169014085,154.898798628,305.980461812,120.989342806
30,60,58,140.58164806,197.884381339,118.9168357,69.6081635044,249.845849802,122.185770751
31,65,57,104.652058495,175.029972752,119.953678474,121.607937822,195.038461538,121.895927602
32,68,66,89.5388184397,221.99044586,120.821656051,68.7827702613,326.052,125.88
33,72,62,167.101107024,112.943686007,123.854948805,63.0050175593,210.021834061,125.026200873
34,73,71,183.35496897,228.880248834,123.978227061,129.311608091,334.106382979,129.057446809
35,74,68,198.468209025,75.9468390805,125.08045977,148.570783764,319.846296296,127.12037037
36,75,64,140.58164806,80.2068965517,126.040567951,154.623667547,195.016014235,126.024911032
37,77,70,72.7146455481,142.133333333,125.858823529,110.052432418,303.8325,128.995
38,78,73,140.58164806,221.941176471,126.016227181,108.951908094,323.967171717,130.856060606
39,79,76,117.484054768,170.883495146,128.084951456,45.1214972914,330.067073171,131.969512195
40,83,72,118.624676659,72.9447115385,129.939903846,149.671308089,201.038602941,129.983455882
41,84,77,99.5192599855,175.171919771,130.143266476,107.576252689,257.076726343,132.959079284
42,85,81,74.99588933,244.087452471,130.178707224,73.459998639,365.003745318,135.936329588
43,87,74,99.8044154582,116.92,130.988571429,112.528612147,236.853300733,131.995110024
44,89,79,110.35516795,230.899224806,131.84496124,176.083891869,312.03125,136.165625
45,90,78,174.229993843,123.808510638,133.073649755,103.724417554,230.034482759,134.140583554
46,91,83,180.788569716,216.123028391,133.055205047,80.3382756652,328.037671233,137.130136986
47,93,82,65.300603257,128.109170306,134.161572052,66.5817216129,317.165289256,136.851239669
48,95,85,75.2810448028,111.984848485,134.992424242,110.877825661,371.985111663,138.151364764
49,96,84,134.878538605,245.190274841,134.938689218,109.777301337,253.932330827,138.050125313
50,97,90,165.390174188,231.931034483,137.877586207,126.835428362,342.136659436,142.013015184
51,98,92,98.3786380945,227.069565217,139.034782609,61.9044932352,328.106666667,142.786666667
52,102,97,116.058277404,242.995085995,141.911547912,49.2484635071,370.217877095,146.12849162
53,104,99,183.640124443,233.031055901,142.962732919,116.380447282,342.843971631,146.93144208
54,105,98,87.5427301305,104.039087948,146.156351792,83.0895864756,255.168874172,147.066225166
55,107,104,173.089371952,241.008237232,146.958813839,134.539098631,369.096114519,150.875255624
56,109,105,136.589471441,117.987473904,152.997912317,91.618649988,245.900900901,153.840840841
57,110,107,80.6989987848,227.127208481,153.22614841,187.914528354,335.953147877,156.109809663
58,112,108,197.89789808,221.919308357,154.912103746,170.856401329,360.951690821,156.996779388
59,115,110,264.624278701,101.988146552,158.099137931,96.5710094468,240.054131054,157.968660969
60,116,112,91.5349067488,225.052959502,158.92834891,53.9256918848,334.12244898,161.025510204
61,118,114,93.8161505307,107.103343465,159.848024316,120.232282417,366.913043478,161.105263158
62,119,117,90.3942848579,236.041009464,160.886435331,52.8251675607,361.083333333,162.838541667
63,120,118,144.858980151,255.021653543,162.862204724,97.9466648521,379.938202247,164.884831461
64,121,120,116.913743822,251.912195122,167.102439024,87.4916837723,377.040880503,169.081761006
65,122,123,106.648146804,241.040106952,172.06684492,82.5393243135,356.963333333,172.996666667
66,124,125,116.058277404,235.936117936,172.943488943,79.7880135031,349.082758621,173.927586207
67,125,127,114.062189095,229.1375,175.9525,68.2325080992,338.842741935,176.834677419
68,127,130,110.35516795,238.227390181,179.134366925,66.856852694,351.827160494,179.880658436
69,129,131,117.484054768,250.912621359,181.009708738,78.1372270168,369.922535211,181.038732394
70,130,133,187.347145589,233.03652968,183.97412481,185.163217543,333.998514116,184.053491828
71,131,135,161.683153042,227.964726631,185.098765432,87.2165526913,324.126182965,184.952681388
