,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,1,3,138.797445665,212.038461538,2.18552036199,95.1615969693,193.13363029,8.90423162584
1,2,6,153.870471439,207.053061224,3.89387755102,94.1018909897,220.126126126,12.0472972973
2,5,9,123.410398521,182.982188295,8.0,95.3735381652,216.12,14.8266666667
3,6,8,112.419650561,210.030726257,8.00558659218,68.8808886749,205.144615385,14.9538461538
4,7,7,119.956163448,154.861256545,9.00523560209,86.0481255446,225.123152709,14.1650246305
5,10,10,121.5262703,137.103359173,18.0904392765,123.561717223,197.109777015,20.063464837
6,11,11,151.044279106,153.022869023,18.8586278586,115.93183417,174.098720293,20.9616087751
7,14,14,142.251680738,202.022075055,20.9779249448,128.648305925,179.153212521,26.0148270181
8,15,13,144.13580896,159.037037037,21.917211329,86.0481255446,190.985221675,25.0221674877
9,19,20,136.285274703,135.940092166,27.9723502304,118.051246129,281.917414722,34.0359066427
10,20,17,119.014099337,151.155672823,27.944591029,116.143775366,190.954379562,30.9927007299
11,21,19,154.184492809,161.185336049,28.0427698574,94.7377145775,248.035794183,33.966442953
12,24,28,134.715167852,179.955710956,31.8857808858,126.740835162,255.882943144,39.0618729097
13,25,22,110.221500969,131.054131054,32.8233618234,85.2003607609,203.888059701,35.1791044776
14,27,21,102.999009453,147.143292683,33.0091463415,106.182539157,181.085828343,34.9660678643
15,28,32,82.2735990142,155.106870229,32.8854961832,106.182539157,283.027944112,39.9500998004
16,29,31,169.571539953,165.025925926,33.0166666667,118.263187325,271.967741935,40.0770609319
17,30,25,88.5540264199,159.936170213,33.8368794326,87.3197727202,215.90776699,37.9296116505
18,31,29,125.608548113,176.01,34.97,110.633304272,207.084291188,39.9003831418
19,32,37,140.053531146,201.883408072,37.0852017937,109.573598292,253.015473888,44.9864603482
20,33,33,162.035027066,155.893410853,38.1104651163,70.3644770463,191.885542169,41.0873493976
21,34,35,98.2886888987,172.156549521,38.0958466454,122.078128851,217.967013889,42.9930555556
22,35,36,116.815949745,145.008064516,38.8548387097,101.943715239,258.029106029,43.9854469854
23,36,38,162.663069807,163.808880309,41.0501930502,81.8093016262,232.142487047,46.1165803109
24,37,41,154.81253555,187.036511156,40.9411764706,117.203481345,223.971066908,47.0180831826
25,42,47,107.395308637,199.961988304,44.1520467836,88.1675375039,251.067307692,51.8581730769
26,43,45,75.6791502383,146.066390041,45.9502074689,176.547016204,256.962785114,50.906362545
27,45,50,81.9595776439,190.785440613,46.1034482759,90.9227730509,271.932400932,53.8181818182
28,48,53,137.541360184,185.974885845,48.1780821918,91.9824790305,298.082949309,56.9930875576
29,51,58,205.369976165,178.857798165,53.880733945,73.5435949852,289.126801153,61.1383285303
30,53,59,96.0905393067,151.977124183,55.9281045752,155.776779003,284.034013605,61.8680272109
31,55,56,115.245842894,169.904632153,57.0136239782,112.964657427,188.011257036,60.0581613508
32,57,75,157.952749252,250.912524851,59.1351888668,108.090009921,374.017647059,72.1549019608
33,59,70,132.83103963,190.108747045,59.9834515366,134.582659411,306.072440945,68.0
34,61,72,135.029189222,197.034883721,62.0395348837,76.722712924,268.961325967,69.0662983425
35,63,61,115.559864264,72.9809782609,63.9076086957,86.8958903283,182.146341463,62.912195122
36,64,65,117.129971116,96.9839142091,64.9249329759,54.0450049603,227.035294118,66.0078431373
37,65,64,129.690825927,111.992736077,65.0920096852,100.884009259,199.920168067,66.006302521
38,68,79,152.300364587,205.018556701,65.0020618557,84.3525959772,318.251256281,74.0351758794
39,70,67,105.197159045,117.047761194,67.1731343284,86.8958903283,191.982926829,68.0048780488
40,71,80,181.190330653,181.055459272,68.027729636,79.6898896669,288.859042553,74.9893617021
41,72,77,112.419650561,198.865921788,68.8407821229,138.821483329,224.114503817,73.9282442748
42,73,87,178.364138321,224.13028169,69.9225352113,142.212542464,349.105812221,80.0387481371
43,76,82,141.309616627,208.031111111,73.1,70.5764182423,197.03003003,78.009009009
44,77,86,145.391894441,254.850971922,73.0777537797,108.725833508,210.998050682,80.0194931774
45,78,81,108.023351377,63.113372093,73.9040697674,102.155656435,296.985477178,75.9273858921
46,79,83,74.4230647571,141.928270042,75.1308016878,98.5526561041,232.068817204,78.1161290323
47,80,99,127.178654965,193.039506173,75.9259259259,99.1884796918,374.136752137,84.9807692308
48,81,92,154.184492809,135.097759674,77.0040733198,143.908072032,310.860088365,82.057437408
49,82,98,127.492676335,203.86453202,77.0517241379,110.20942188,325.919230769,85.0538461538
50,83,96,238.970262786,215.060446781,77.0223390276,67.6092414994,300.774294671,84.8652037618
51,84,85,105.825201785,122.050445104,77.943620178,144.120013227,191.113235294,78.9955882353
52,86,89,132.51701826,224.156398104,78.0900473934,134.794600607,152.11163522,81.9025157233
53,88,118,153.556450069,279.051124744,81.0449897751,92.6183026182,347.132723112,92.0800915332
54,92,114,124.980505373,213.09798995,82.0753768844,115.084069386,358.97053407,91.0515653775
55,93,100,170.513604064,246.092081031,81.9226519337,59.1315936624,132.003584229,85.9283154122
56,94,97,162.035027066,64.003875969,82.9786821705,142.212542464,305.016393443,84.8450074516
57,95,93,117.758013856,103.104,83.16,94.5257733815,184.029147982,83.1143497758
58,97,121,154.498514179,237.150406504,83.1036585366,95.3735381652,366.091111111,92.9733333333
59,98,90,90.7521760119,68.0657439446,83.8685121107,103.42730361,165.842213115,82.0532786885
60,99,95,110.84954371,72.0878186969,84.9263456091,134.370718215,224.905362776,84.8722397476
61,102,101,91.0661973821,61.0827586207,86.0862068966,113.600481015,234.888059701,85.927238806
62,108,109,115.245842894,182.040871935,88.0435967302,93.0421850101,150.890660592,90.0911161731
63,109,120,68.1426373515,241.866359447,88.1198156682,54.6808285481,174.744186047,92.9341085271
64,110,125,205.055954795,119.89280245,88.9234303216,57.648005291,351.959558824,93.9522058824
65,115,124,114.303778783,79.0824175824,91.0769230769,109.573598292,327.03868472,93.9903288201
66,117,123,156.382642401,102.969879518,92.0843373494,86.4720079365,249.948529412,93.8406862745
67,118,128,204.741933425,160.915644172,91.9969325153,182.057487298,213.980209546,94.9511059371
68,119,136,117.129971116,170.857908847,92.163538874,106.818362745,373.013888889,99.1726190476
69,120,116,86.0418554576,67.0145985401,93.1715328467,115.719892974,188.915750916,91.8663003663
70,122,132,115.873885635,95.0704607046,94.0948509485,82.233184018,304.979381443,96.8170103093
71,123,127,211.02236083,128.936011905,94.0386904762,84.1406547813,179.151133501,94.9546599496
72,127,146,163.605133918,154.896353167,95.9520153551,102.367597631,313.861283644,100.850931677
73,129,144,84.7857699765,190.903703704,97.0777777778,123.137834831,224.039586919,101.005163511
74,130,142,129.376804557,245.014563107,96.8422330097,128.436364729,153.971947195,100.958745875
75,131,130,111.791607821,67.0421348315,97.9606741573,108.301951117,194.080234834,97.0039138943
