,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,0,3,114.552310979,200.056947608,6.00911161731,95.7436452668,219.063829787,14.0685579196
1,1,4,104.636621191,190.152119701,7.95760598504,101.854941773,209.824444444,14.9933333333
2,2,5,127.338332023,218.036885246,9.04098360656,90.7640703357,231.014962594,18.0498753117
3,3,7,140.124353066,229.973929236,8.91247672253,124.489373278,242.956363636,19.0981818182
4,4,6,91.5896609424,202.054131054,10.8062678063,78.0887886928,222.904347826,18.8724637681
5,5,8,138.297778631,209.901886792,12.9377358491,152.78241266,226.977777778,21.1244444444
6,6,9,110.3772837,191.056737589,17.0543735225,86.4635283497,218.95026178,24.1361256545
7,8,10,112.986675749,215.062355658,19.1570438799,88.2742828701,226.935897436,27.9615384615
8,10,11,96.2865666318,194.98102981,22.864498645,81.7102977336,208.130193906,29.0526315789
9,11,12,103.853803576,203.91959799,23.9572864322,119.736142662,220.992438563,30.9035916824
10,12,14,103.070985961,211.035443038,26.9873417722,93.7065464314,234.079710145,35.0314009662
11,14,17,126.294575203,199.981404959,31.1033057851,90.5377260207,221.1075,37.98
12,16,18,102.549107551,163.152671756,38.1526717557,130.600669785,232.965337955,44.0693240901
13,19,20,121.336730308,169.995698925,42.9075268817,103.213007664,199.006578947,46.826754386
14,20,21,117.422642234,196.095555556,43.1355555556,92.5748248561,212.850855746,48.8826405868
15,21,23,77.2380046694,161.780405405,43.9560810811,107.287205334,264.101265823,49.9810126582
16,24,26,111.160101315,163.988262911,48.2183098592,95.7436452668,234.040189125,53.0330969267
17,26,24,186.832470754,168.11452514,48.967877095,91.6694475959,204.938271605,52.8148148148
18,27,29,62.8863483964,177.099585062,49.8713692946,87.82159424,228.097938144,54.956185567
19,28,28,94.1990529921,142.930747922,51.9833795014,78.994165953,220.088825215,55.0114613181
20,32,34,128.643028047,170.888438134,53.154158215,84.4264295143,261.08847185,59.1528150134
21,33,38,100.200654706,152.052083333,55.140625,122.678618758,295.070110701,61.1180811808
22,36,42,87.414633663,164.940298507,58.1194029851,152.78241266,264.951111111,63.9096296296
23,38,41,141.9509275,155.0,59.0018382353,72.8828694466,236.043478261,63.1708074534
24,39,43,155.519766159,160.818791946,60.0838926174,94.3855793765,244.019184652,65.1175059952
25,41,54,212.665452046,169.062576687,63.0858895706,79.4468545831,304.128205128,70.150997151
26,43,49,128.382088842,186.004065041,62.9817073171,66.0925399951,255.030821918,69.0376712329
27,44,52,91.8506001474,181.136363636,63.9829545455,72.8828694466,259.894409938,69.900621118
28,46,57,87.153694458,200.083832335,66.0868263473,109.32430417,265.055900621,72.9378881988
29,49,61,87.414633663,157.898507463,68.9970149254,62.0183423241,304.846715328,74.7408759124
30,51,60,172.480814481,182.892586989,71.019667171,86.4635283497,206.979057592,74.9738219895
31,52,59,126.816453613,190.053497942,70.8744855967,82.8420193089,200.907103825,74.9890710383
32,53,67,91.3287217375,202.971428571,70.8971428571,156.856610331,308.994227994,78.9134199134
33,54,63,107.24601324,139.0243309,72.0,98.4597770475,298.098850575,77.0252873563
34,56,66,89.7630865077,175.14244186,72.8895348837,137.843687866,286.972085386,78.9835796388
35,57,65,81.1520927438,193.919614148,73.9935691318,87.3689056099,234.96373057,79.0103626943
36,58,68,138.819657041,204.992481203,74.9887218045,133.54314588,207.916949153,79.8661016949
37,61,71,91.3287217375,187.817142857,76.9314285714,54.3226356124,280.8625,83.1583333333
38,64,69,106.72413483,100.921760391,80.8997555012,115.209256361,191.033398821,80.9548133595
39,65,77,181.613686655,189.064655172,80.8908045977,91.895791911,304.896551724,87.1009852217
40,66,81,190.224680419,198.969821674,82.012345679,104.571073554,310.036796537,89.0714285714
41,67,91,146.64783319,242.071174377,81.9128113879,106.608172389,359.940552017,91.9278131635
42,69,78,114.030432569,186.009153318,84.1670480549,82.6156749938,207.02739726,87.9534246575
43,70,90,130.208663277,205.134268537,84.1362725451,107.060861019,314.968287526,91.9640591966
44,75,88,130.469602482,119.954,89.93,100.270531568,232.015801354,91.841986456
45,76,84,147.1697116,129.893617021,89.9131205674,101.402253143,178.006696429,90.9486607143
46,78,98,117.944520644,203.013274336,89.9115044248,80.1258875283,313.867231638,97.0875706215
47,80,105,152.127556494,220.862778731,90.8816466552,127.205505059,337.943060498,98.884341637
48,81,108,135.166508171,245.826254826,91.9382239382,96.422678212,321.082159624,100.117370892
49,82,95,132.296176917,81.0078895464,92.8244575937,91.4431032809,342.997524752,96.1064356436
50,84,94,80.6302143339,149.103559871,92.8220064725,96.649022527,161.836065574,93.8922716628
51,90,104,108.028830855,105.125603865,95.9951690821,111.58774732,309.058823529,98.9574036511
