,PID_R,PID_L,Mass_R,X_R,Y_R,Mass_L,X_L,Y_L
0,1,2,107.683038448,200.015015015,1.01201201201,87.1650765076,209.160714286,7.984375
1,2,3,123.204917864,221.994750656,1.01312335958,95.5313673331,219.046843177,10.1710794297
2,3,4,107.036293472,191.0,6.92447129909,74.3237929149,211.151832461,13.997382199
3,5,5,75.6691621525,206.923076923,8.16239316239,93.196588498,197.981210856,14.878914405
4,6,7,96.6883738615,217.976588629,8.96321070234,97.6715812652,222.988047809,17.9521912351
5,7,6,117.384213083,209.134986226,11.9752066116,118.295460975,189.095394737,17.9440789474
6,8,10,119.647820498,204.886486486,12.8378378378,89.3052904397,228.058823529,20.834422658
7,11,11,136.463189865,157.104265403,18.0379146919,90.0835500513,216.062634989,21.8660907127
8,13,13,121.911427912,150.915119363,24.899204244,61.0933795165,194.805732484,27.9840764331
9,14,15,137.756679816,140.981220657,25.9389671362,142.032379131,204.001369863,29.001369863
10,15,14,114.150488204,155.957507082,26.9178470255,119.851980198,182.01461039,28.9334415584
11,16,19,125.468525278,200.097938144,27.9329896907,99.4226653914,210.864970646,34.1604696673
12,21,22,81.1664944456,153.844621514,33.9203187251,91.2509394689,253.957356077,38.9637526652
13,22,21,97.658491325,163.930463576,34.0629139073,118.100896072,197.036243822,37.9802306425
14,24,26,105.742803521,191.0,34.8929663609,90.6672447601,218.030042918,40.864806867
15,27,36,158.452519037,175.087755102,38.0816326531,96.3096269447,284.016161616,46.0323232323
16,28,25,120.941310449,150.069518717,39.0026737968,105.065047576,187.957407407,40.9925925926
17,29,30,131.612602547,167.078624079,39.0466830467,72.3781438857,227.876344086,44.1102150538
18,30,29,121.911427912,181.074270557,39.175066313,87.7487712163,211.11751663,44.0376940133
19,31,31,135.169699913,144.0,40.033492823,104.870482673,232.031539889,43.974025974
20,33,42,91.5144140562,159.049469965,44.2049469965,94.7531077214,289.985626283,51.1149897331
21,34,40,108.329783423,174.050746269,44.0567164179,85.9976870901,222.873303167,49.056561086
22,37,44,153.278559232,165.85443038,46.9556962025,111.485689372,236.019197208,52.0244328098
23,38,43,164.596596306,154.941060904,47.8683693517,97.6715812652,227.103585657,52.061752988
24,41,46,116.737468107,182.130193906,49.8587257618,77.8259611675,204.1675,53.9475
25,42,49,156.835656598,173.84742268,51.0432989691,85.8031221871,253.988662132,56.9614512472
26,43,53,110.593390838,200.052631579,51.0058479532,72.3781438857,249.061827957,57.9462365591
27,45,57,86.9871992266,195.970260223,52.0743494424,84.4411678667,287.997695853,60.1497695853
28,46,48,145.840992012,165.10864745,52.9689578714,103.119398547,214.041509434,56.8867924528
29,47,60,127.732132693,187.124050633,55.1518987342,88.1379010222,298.105960265,63.0353200883
30,48,58,96.3650013737,196.013422819,56.2248322148,80.9389996142,198.079326923,61.0072115385
31,50,64,226.360741482,179.954285714,58.9942857143,100.590054809,290.025145068,66.0232108317
32,51,67,134.19958245,204.098795181,58.9831325301,142.226944034,310.987688098,67.9603283174
33,53,65,89.5741791292,130.855595668,62.1335740072,160.905174714,285.037484885,66.9238210399
34,54,62,93.4546489832,171.128027682,61.8823529412,98.2552759739,193.978217822,64.8930693069
35,55,66,93.778021471,124.068965517,64.1655172414,95.9204971389,256.985801217,67.906693712
