,kernel,layer,x,y
0,0,1,306,80
1,1,1,218,88
2,1,1,238,112
3,1,1,254,128
4,1,1,266,104
5,1,1,278,172
6,1,1,286,124
7,1,1,298,156
8,1,1,302,32
9,1,1,306,148
10,1,1,310,140
11,2,1,211,83
12,2,1,227,83
13,2,1,231,19
14,2,1,235,107
15,2,1,255,27
16,2,1,259,103
17,2,1,259,183
18,2,1,271,87
19,2,1,275,131
20,2,1,283,15
21,2,1,287,19
22,2,1,291,59
23,2,1,291,91
24,2,1,299,171
25,2,1,323,39
26,3,1,260,112
27,3,1,276,148
28,3,1,320,64
29,4,1,130,114
30,4,1,194,126
31,4,1,214,166
32,4,1,226,82
33,4,1,258,130
34,4,1,262,126
35,4,1,262,166
36,4,1,274,130
37,4,1,274,154
38,4,1,282,62
39,4,1,286,18
40,4,1,290,58
41,4,1,294,58
42,4,1,298,170
43,4,1,302,182
44,4,1,318,30
45,5,1,170,95
46,5,1,194,91
47,5,1,198,95
48,5,1,214,71
49,5,1,226,67
50,5,1,242,91
51,5,1,266,155
52,5,1,270,35
53,5,1,274,7
54,5,1,274,75
55,5,1,274,159
56,5,1,278,95
57,5,1,278,171
58,5,1,286,51
59,5,1,286,71
60,5,1,286,147
61,5,1,294,83
62,5,1,302,51
63,5,1,302,87
64,5,1,302,91
65,5,1,306,19
66,5,1,310,67
67,5,1,314,103
68,5,1,322,159
69,5,1,322,187
70,5,1,326,27
71,5,1,326,167
72,5,1,330,31
73,5,1,330,163
74,5,1,350,31
75,6,1,296,164
76,6,1,328,156
77,6,1,332,36
78,6,1,340,28
79,7,1,198,101
80,7,1,314,33
81,7,1,318,173
82,7,1,322,177
83,8,1,163,91
84,8,1,199,95
85,8,1,211,99
86,8,1,219,55
87,8,1,239,95
88,8,1,251,47
89,8,1,251,115
90,8,1,263,47
91,8,1,263,175
92,8,1,263,187
93,8,1,267,111
94,8,1,271,19
95,8,1,275,111
96,8,1,287,67
97,8,1,287,155
98,8,1,291,103
99,8,1,303,147
100,8,1,303,167
101,8,1,307,31
102,8,1,311,31
103,8,1,311,151
104,8,1,311,159
105,8,1,315,83
106,8,1,319,27
107,8,1,319,159
108,8,1,319,167
109,8,1,327,111
110,8,1,335,27
111,9,1,226,151
112,9,1,234,143
113,9,1,282,31
114,9,1,294,135
115,10,1,153,95
116,10,1,173,87
117,10,1,205,115
118,10,1,213,91
119,10,1,217,87
120,10,1,217,119
121,10,1,225,123
122,10,1,233,115
123,10,1,237,27
124,10,1,237,179
125,10,1,245,79
126,10,1,257,83
127,10,1,269,167
128,10,1,273,95
129,10,1,285,107
130,10,1,289,183
131,10,1,293,23
132,10,1,301,95
133,10,1,301,143
134,10,1,309,83
135,10,1,313,87
136,10,1,313,103
137,10,1,317,19
138,10,1,317,187
139,10,1,321,99
140,10,1,325,31
141,10,1,325,83
142,10,1,341,3
143,10,1,341,23
144,11,1,247,124
145,11,1,247,172
146,11,1,279,156
147,11,1,287,20
148,11,1,303,140
149,11,1,319,148
150,12,1,265,82
151,13,1,130,90
152,13,1,142,94
153,13,1,166,102
154,13,1,194,126
155,13,1,214,22
156,13,1,226,82
157,13,1,226,114
158,13,1,234,106
159,13,1,258,130
160,13,1,270,18
161,13,1,270,170
162,13,1,270,182
163,13,1,282,146
164,13,1,290,2
165,13,1,290,30
166,13,1,290,186
167,13,1,298,190
168,13,1,302,150
169,13,1,310,82
170,13,1,310,178
171,13,1,318,22
172,13,1,318,70
173,13,1,322,174
174,13,1,322,178
175,13,1,326,174
176,13,1,346,2
177,13,1,346,42
178,14,1,145,90
179,14,1,221,122
180,14,1,229,126
181,14,1,233,182
182,14,1,249,30
183,14,1,257,138
184,14,1,273,130
185,14,1,273,182
186,14,1,285,62
187,14,1,293,150
188,14,1,305,142
189,14,1,305,146
190,14,1,309,82
191,14,1,313,22
192,14,1,313,50
193,14,1,313,126
194,14,1,313,186
195,14,1,325,150
196,14,1,333,158
197,14,1,337,110
198,14,1,337,174
199,15,1,143,100
200,15,1,187,96
201,15,1,191,112
202,15,1,235,108
203,15,1,235,124
204,15,1,239,164
205,15,1,255,116
206,15,1,259,44
207,15,1,271,156
208,15,1,271,160
209,15,1,279,64
210,15,1,311,28
211,15,1,323,44
212,16,1,142,94
213,16,1,214,22
