,kernel,layer,x,y
0,0,1,218,37
1,1,1,61,27
2,1,1,61,91
3,1,1,89,163
4,1,1,93,99
5,1,1,105,115
6,1,1,113,91
7,1,1,125,83
8,1,1,141,119
9,1,1,145,171
10,1,1,149,111
11,1,1,153,159
12,1,1,157,175
13,1,1,161,99
14,1,1,165,111
15,1,1,173,171
16,1,1,189,183
17,1,1,193,191
18,1,1,253,151
19,2,1,35,83
20,2,1,55,23
21,2,1,59,31
22,2,1,59,39
23,2,1,79,51
24,2,1,99,87
25,2,1,111,95
26,2,1,123,87
27,2,1,123,115
28,2,1,159,103
29,2,1,163,87
30,2,1,167,95
31,2,1,179,39
32,2,1,179,95
33,2,1,179,111
34,2,1,179,127
35,2,1,275,155
36,2,1,287,155
37,3,1,132,111
38,4,1,38,94
39,4,1,38,142
40,4,1,42,30
41,4,1,70,166
42,4,1,86,118
43,4,1,86,162
44,4,1,98,126
45,4,1,98,178
46,4,1,102,170
47,4,1,126,142
48,4,1,138,110
49,4,1,138,118
50,4,1,150,178
51,4,1,166,94
52,4,1,170,38
53,4,1,170,162
54,4,1,182,14
55,4,1,190,30
56,4,1,190,150
57,4,1,198,106
58,4,1,198,166
59,4,1,202,170
60,4,1,230,158
61,4,1,234,178
62,5,1,35,84
63,5,1,75,176
64,5,1,83,172
65,5,1,87,168
66,5,1,99,180
67,5,1,107,136
68,5,1,115,48
69,5,1,115,88
70,5,1,259,148
71,6,1,42,100
72,6,1,70,120
73,6,1,90,100
74,7,1,74,173
75,7,1,82,89
76,7,1,138,121
77,7,1,158,145
78,7,1,178,9
79,8,1,35,123
80,8,1,39,115
81,8,1,39,167
82,8,1,67,31
83,8,1,71,179
84,8,1,75,147
85,8,1,79,95
86,8,1,99,31
87,8,1,175,11
88,8,1,191,207
89,8,1,195,99
90,9,1,86,119
91,9,1,90,111
92,10,1,41,7
93,10,1,41,99
94,10,1,49,171
95,10,1,53,151
96,10,1,57,119
97,10,1,89,91
98,10,1,89,163
99,10,1,97,43
100,10,1,97,91
101,10,1,97,143
102,10,1,105,43
103,10,1,141,95
104,10,1,157,27
105,10,1,161,175
106,10,1,169,11
107,10,1,173,171
108,10,1,189,171
109,10,1,213,11
110,10,1,213,15
111,10,1,237,23
112,10,1,269,139
113,11,1,91,80
114,11,1,99,176
115,11,1,203,168
116,12,1,57,14
117,13,1,33,166
118,13,1,37,142
119,13,1,53,86
120,13,1,81,134
121,13,1,81,170
122,13,1,85,178
123,13,1,89,46
124,13,1,97,126
125,13,1,101,30
126,13,1,101,150
127,13,1,113,46
128,13,1,113,90
129,13,1,125,30
130,13,1,149,94
131,13,1,153,118
132,13,1,157,110
133,13,1,157,122
134,13,1,173,126
135,13,1,177,94
136,13,1,189,122
