,kernel,layer,x,y
0,1,1,138,80
1,1,1,186,100
2,1,1,214,20
3,1,1,278,96
4,1,1,278,160
5,1,1,310,40
6,2,1,203,119
7,2,1,211,83
8,2,1,211,91
9,2,1,227,99
10,2,1,231,79
11,2,1,259,43
12,2,1,263,99
13,2,1,287,163
14,2,1,299,171
15,2,1,311,95
16,2,1,311,115
17,2,1,315,39
18,2,1,319,7
19,2,1,319,207
20,2,1,323,87
21,2,1,335,163
22,3,1,140,88
23,3,1,144,96
24,3,1,164,100
25,3,1,196,112
26,3,1,240,4
27,3,1,244,80
28,3,1,260,24
29,3,1,264,36
30,3,1,268,180
31,3,1,276,156
32,3,1,280,20
33,3,1,304,140
34,3,1,336,108
35,3,1,340,128
36,3,1,340,132
37,4,1,186,102
38,4,1,202,110
39,4,1,214,50
40,4,1,230,166
41,4,1,238,98
42,4,1,238,178
43,4,1,238,182
44,4,1,246,102
45,4,1,254,94
46,4,1,262,42
47,4,1,262,146
48,4,1,262,166
49,4,1,270,42
50,4,1,270,170
51,4,1,270,186
52,4,1,274,130
53,4,1,278,22
54,4,1,278,158
55,4,1,282,34
56,4,1,282,146
57,4,1,286,118
58,4,1,286,138
59,4,1,286,174
60,4,1,290,106
61,4,1,290,130
62,4,1,294,114
63,4,1,294,198
64,4,1,298,170
65,4,1,306,178
66,4,1,310,162
67,4,1,334,14
68,4,1,334,162
69,4,1,338,130
70,4,1,342,22
71,4,1,342,126
72,5,1,146,87
73,5,1,154,71
74,5,1,158,75
75,5,1,226,67
76,5,1,226,71
77,5,1,226,75
78,5,1,230,3
79,5,1,230,87
80,5,1,246,7
81,5,1,246,11
82,5,1,258,147
83,5,1,262,31
84,5,1,266,135
85,5,1,274,3
86,5,1,274,31
87,5,1,274,175
88,5,1,294,91
89,5,1,298,151
90,5,1,302,159
91,5,1,310,75
92,5,1,310,99
93,5,1,314,115
94,5,1,318,67
95,5,1,318,179
96,5,1,322,15
97,5,1,322,99
98,5,1,322,159
99,5,1,326,35
100,5,1,326,91
101,5,1,330,15
102,5,1,338,3
103,5,1,338,19
104,5,1,338,151
105,5,1,346,7
106,6,1,276,96
107,6,1,276,124
108,6,1,296,32
109,6,1,300,24
110,6,1,344,48
111,6,1,352,28
112,7,1,230,17
113,7,1,242,177
114,7,1,250,125
115,7,1,254,5
116,7,1,266,185
117,7,1,286,173
118,7,1,298,65
119,7,1,298,101
120,7,1,302,29
121,7,1,314,21
122,7,1,346,45
123,8,1,143,87
124,8,1,147,91
125,8,1,203,187
126,8,1,215,7
127,8,1,215,83
128,8,1,231,75
129,8,1,231,107
130,8,1,235,23
131,8,1,235,63
132,8,1,235,87
133,8,1,243,27
134,8,1,255,47
135,8,1,255,171
136,8,1,271,27
137,8,1,279,83
138,8,1,291,63
139,8,1,303,147
140,8,1,303,167
141,8,1,315,179
142,8,1,319,167
143,8,1,327,95
144,9,1,154,127
145,9,1,162,111
146,9,1,194,107
147,9,1,246,111
148,9,1,254,179
149,9,1,286,107
150,9,1,302,27
151,9,1,306,23
152,10,1,145,91
153,10,1,153,95
154,10,1,161,83
155,10,1,161,107
156,10,1,165,99
157,10,1,165,107
158,10,1,169,87
159,10,1,217,95
160,10,1,217,119
161,10,1,225,123
162,10,1,241,119
163,10,1,245,131
164,10,1,253,95
165,10,1,257,131
166,10,1,277,123
167,10,1,285,83
168,10,1,289,15
169,10,1,289,27
170,10,1,305,139
171,10,1,309,47
172,10,1,309,183
173,10,1,313,83
174,10,1,313,107
175,10,1,317,67
176,10,1,325,15
177,10,1,325,155
178,10,1,329,11
179,10,1,333,123
180,10,1,345,95
181,10,1,349,27
182,11,1,147,96
183,11,1,199,100
184,11,1,255,24
185,11,1,271,44
186,11,1,271,184
187,11,1,275,108
188,12,1,245,174
189,12,1,289,94
190,12,1,313,118
191,12,1,317,42
192,12,1,329,46
193,13,1,150,98
194,13,1,154,94
195,13,1,194,118
196,13,1,202,118
197,13,1,206,90
198,13,1,222,78
199,13,1,226,14
200,13,1,230,150
201,13,1,234,106
202,13,1,238,98
203,13,1,246,102
204,13,1,246,174
205,13,1,254,178
206,13,1,262,86
207,13,1,266,34
208,13,1,270,186
209,13,1,274,2
210,13,1,274,46
211,13,1,274,110
212,13,1,278,174
213,13,1,282,46
214,13,1,282,186
215,13,1,286,138
216,13,1,302,66
217,13,1,306,178
218,13,1,310,94
219,13,1,318,198
220,13,1,322,178
221,13,1,326,174
222,13,1,330,90
223,13,1,334,14
224,13,1,350,26
225,14,1,149,102
226,14,1,197,102
227,14,1,301,30
228,14,1,337,50
229,14,1,337,174
230,14,1,349,98
231,14,1,357,42
232,14,1,361,42
233,15,1,207,180
234,15,1,219,8
235,15,1,223,116
236,15,1,235,4
237,15,1,259,40
238,15,1,259,44
239,15,1,259,148
240,15,1,263,40
241,15,1,271,4
242,15,1,275,88
243,15,1,275,92
244,15,1,279,40
245,15,1,283,148
246,15,1,299,156
247,15,1,303,92
248,15,1,307,96
249,15,1,315,8
250,15,1,315,28
251,16,1,162,106
252,16,1,210,82
253,16,1,218,34
254,16,1,222,78
255,16,1,222,162
256,16,1,230,150
257,16,1,230,166
258,16,1,238,98
259,16,1,246,86
260,16,1,246,102
261,16,1,250,102
262,16,1,254,102
263,16,1,254,178
264,16,1,262,166
265,16,1,266,46
266,16,1,270,186
267,16,1,282,82
268,16,1,282,146
269,16,1,282,174
270,16,1,286,46
271,16,1,286,118
272,16,1,286,174
273,16,1,290,46
274,16,1,294,46
275,16,1,298,46
276,16,1,298,62
277,16,1,298,78
278,16,1,306,178
279,16,1,310,82
280,16,1,310,114
281,16,1,318,170
282,16,1,322,30
283,16,1,338,14
284,16,1,342,134
285,17,1,241,107
286,18,1,152,84
287,18,1,200,100
288,18,1,224,124
289,18,1,224,176
290,18,1,228,16
291,18,1,228,112
292,18,1,272,172
293,18,1,316,28
294,18,1,320,168
295,18,1,328,172
296,19,1,252,26
297,19,1,296,98
298,19,1,324,42
299,20,1,195,101
300,20,1,259,33
301,20,1,271,33
302,20,1,291,45
303,20,1,319,149
304,21,1,226,88
305,21,1,250,104
306,21,1,262,100
307,21,1,274,4
308,21,1,306,172
309,21,1,310,100
310,21,1,334,108
311,22,1,167,109
312,22,1,259,25
313,22,1,259,89
314,22,1,355,41
315,23,1,163,101
316,23,1,227,117
317,23,1,239,97
318,23,1,239,177
319,23,1,239,181
320,23,1,255,89
321,23,1,255,93
322,23,1,263,41
323,23,1,263,165
324,23,1,271,173
325,23,1,283,13
326,23,1,287,117
327,23,1,291,1
328,23,1,295,81
329,23,1,295,85
