,kernel,layer,x,y
0,0,1,246,84
1,1,1,258,96
2,1,1,274,44
3,1,1,302,88
4,1,1,306,188
5,1,1,338,156
6,2,1,227,19
7,2,1,227,99
8,2,1,239,175
9,2,1,255,91
10,2,1,267,83
11,2,1,271,103
12,2,1,283,95
13,2,1,283,123
14,2,1,307,103
15,2,1,335,163
16,3,1,152,124
17,3,1,268,128
18,3,1,292,44
19,3,1,296,32
20,3,1,340,140
21,3,1,340,144
22,3,1,340,148
23,4,1,150,90
24,4,1,202,110
25,4,1,214,86
26,4,1,218,82
27,4,1,226,98
28,4,1,230,22
29,4,1,230,78
30,4,1,234,142
31,4,1,238,14
32,4,1,238,94
33,4,1,238,174
34,4,1,242,182
35,4,1,250,178
36,4,1,258,10
37,4,1,266,138
38,4,1,278,94
39,4,1,298,170
40,4,1,306,110
41,4,1,330,94
42,4,1,330,138
43,4,1,334,162
44,4,1,338,150
45,5,1,242,83
46,5,1,242,155
47,5,1,246,47
48,5,1,246,71
49,5,1,250,79
50,5,1,258,79
51,5,1,262,75
52,5,1,270,71
53,5,1,274,91
54,5,1,278,111
55,5,1,290,67
56,5,1,310,119
57,5,1,322,19
58,5,1,326,35
59,5,1,330,127
60,5,1,346,143
61,6,1,296,132
62,6,1,324,156
63,6,1,332,12
64,6,1,368,12
65,7,1,254,137
66,7,1,278,93
67,7,1,282,81
68,7,1,298,29
69,8,1,183,103
70,8,1,207,123
71,8,1,215,191
72,8,1,223,103
73,8,1,227,23
74,8,1,239,95
75,8,1,239,135
76,8,1,251,43
77,8,1,259,39
78,8,1,263,15
79,8,1,263,43
80,8,1,275,63
81,8,1,275,163
82,8,1,279,179
83,8,1,295,123
84,8,1,303,95
85,8,1,311,11
86,8,1,319,167
87,8,1,319,179
88,8,1,335,167
89,9,1,158,91
90,9,1,310,15
91,10,1,141,95
92,10,1,145,83
93,10,1,201,99
94,10,1,201,171
95,10,1,205,127
96,10,1,213,171
97,10,1,217,83
98,10,1,217,95
99,10,1,221,47
100,10,1,237,15
101,10,1,237,183
102,10,1,245,131
103,10,1,245,179
104,10,1,261,179
105,10,1,265,43
106,10,1,277,123
107,10,1,281,87
108,10,1,293,119
109,10,1,293,147
110,10,1,297,27
111,10,1,297,131
112,10,1,301,107
113,10,1,301,143
114,10,1,305,139
115,10,1,309,99
116,10,1,309,123
117,10,1,313,99
118,10,1,317,23
119,10,1,317,67
120,10,1,321,203
121,10,1,325,87
122,10,1,329,151
123,10,1,357,39
124,11,1,123,88
125,11,1,147,100
126,11,1,195,100
127,11,1,239,92
128,11,1,283,96
129,11,1,315,172
130,11,1,343,44
131,12,1,281,122
132,12,1,309,94
133,12,1,309,126
134,13,1,166,102
135,13,1,210,90
136,13,1,218,18
137,13,1,218,82
138,13,1,222,2
139,13,1,222,114
140,13,1,226,98
141,13,1,230,150
142,13,1,234,2
143,13,1,238,6
144,13,1,238,94
145,13,1,246,90
146,13,1,246,146
147,13,1,250,178
148,13,1,258,126
149,13,1,266,174
150,13,1,270,126
151,13,1,274,122
152,13,1,274,130
153,13,1,282,94
154,13,1,286,174
155,13,1,298,18
156,13,1,298,38
157,13,1,298,170
158,13,1,306,178
159,13,1,318,38
160,13,1,322,78
161,13,1,326,134
162,13,1,334,162
163,13,1,342,90
164,13,1,346,42
165,14,1,125,90
166,14,1,213,110
167,14,1,225,78
168,14,1,241,102
169,14,1,257,90
170,14,1,301,150
171,14,1,309,30
172,14,1,317,130
173,14,1,321,186
174,14,1,333,158
175,14,1,337,14
176,14,1,337,98
177,14,1,337,126
178,14,1,345,174
179,15,1,155,104
180,15,1,219,48
181,15,1,267,184
182,15,1,271,172
183,15,1,303,136
184,15,1,303,180
185,15,1,303,188
186,15,1,319,152
187,15,1,323,184
188,15,1,335,136
189,16,1,218,18
190,16,1,218,50
191,16,1,222,178
192,16,1,226,98
193,16,1,230,78
194,16,1,250,178
195,16,1,254,98
196,16,1,258,82
197,16,1,258,86
198,16,1,258,126
199,16,1,266,82
200,16,1,270,58
201,16,1,270,102
202,16,1,274,122
203,16,1,282,174
204,16,1,286,26
205,16,1,298,38
206,16,1,298,102
207,16,1,302,74
208,16,1,306,86
209,16,1,310,98
210,16,1,314,146
211,16,1,326,102
212,16,1,338,30
213,16,1,342,90
214,16,1,354,22
215,17,1,321,31
216,18,1,208,112
217,18,1,252,132
218,18,1,264,148
219,18,1,296,148
220,18,1,308,148
221,18,1,312,108
222,18,1,332,96
223,18,1,344,44
224,19,1,288,62
225,19,1,288,150
226,20,1,243,97
227,20,1,287,145
228,20,1,295,177
229,20,1,299,141
230,20,1,331,177
231,20,1,343,45
232,21,1,146,76
233,21,1,162,100
234,21,1,254,100
235,21,1,266,96
236,21,1,270,104
237,21,1,278,160
238,21,1,282,80
239,21,1,298,60
240,21,1,306,144
241,21,1,322,148
242,21,1,330,104
243,22,1,151,85
244,22,1,279,93
245,22,1,319,93
246,23,1,211,177
247,23,1,215,85
248,23,1,215,89
249,23,1,263,29
250,23,1,287,93
251,23,1,291,45
252,23,1,295,33
253,23,1,295,161
254,23,1,307,45
255,23,1,307,81
256,23,1,307,133
257,23,1,311,85
258,23,1,311,89
259,23,1,315,37
260,23,1,315,73
261,23,1,315,137
262,23,1,315,141
263,23,1,327,21
264,23,1,335,29
265,23,1,343,17
266,23,1,343,21
267,23,1,355,21
268,24,1,143,99
269,24,1,147,95
270,24,1,155,91
271,24,1,215,31
272,24,1,215,119
273,24,1,227,115
274,24,1,231,95
275,24,1,235,187
276,24,1,263,147
277,24,1,275,127
278,24,1,275,131
279,24,1,283,59
280,24,1,287,111
281,24,1,291,123
282,24,1,295,167
283,24,1,299,155
284,24,1,307,155
285,24,1,307,179
286,24,1,311,107
287,24,1,311,123
288,24,1,315,163
289,24,1,319,167
290,24,1,327,19
291,24,1,327,183
292,24,1,331,95
293,24,1,339,127
294,24,1,351,39
295,25,1,138,87
296,25,1,150,127
297,25,1,198,99
