,kernel,layer,x,y
0,1,1,226,80
1,1,1,234,92
2,1,1,238,112
3,1,1,238,124
4,1,1,254,144
5,1,1,254,164
6,2,1,263,131
7,2,1,271,47
8,2,1,299,171
9,2,1,303,83
10,2,1,311,99
11,2,1,319,143
12,3,1,228,24
13,4,1,146,102
14,4,1,214,166
15,4,1,230,34
16,4,1,234,30
17,4,1,258,174
18,4,1,286,62
19,4,1,290,138
20,4,1,294,158
21,4,1,298,170
22,4,1,318,142
23,4,1,362,22
24,5,1,170,91
25,5,1,218,155
26,5,1,230,11
27,5,1,234,7
28,5,1,238,91
29,5,1,258,15
30,5,1,258,87
31,5,1,274,35
32,5,1,274,171
33,5,1,278,119
34,5,1,286,7
35,5,1,286,135
36,5,1,290,51
37,5,1,290,87
38,5,1,302,119
39,5,1,302,159
40,5,1,310,131
41,5,1,314,87
42,5,1,318,23
43,5,1,318,31
44,5,1,322,19
45,5,1,322,131
46,5,1,330,15
47,5,1,334,23
48,5,1,334,87
49,5,1,338,11
50,5,1,338,31
51,5,1,342,119
52,6,1,284,8
53,6,1,284,52
54,6,1,300,8
55,6,1,316,48
56,6,1,324,20
57,6,1,332,28
58,6,1,336,24
59,6,1,340,52
60,6,1,348,36
61,7,1,238,29
62,7,1,266,109
63,7,1,322,177
64,7,1,334,25
65,8,1,207,95
66,8,1,211,99
67,8,1,211,123
68,8,1,259,91
69,8,1,259,107
70,8,1,263,23
71,8,1,275,67
72,8,1,279,7
73,8,1,279,23
74,8,1,279,175
75,8,1,291,103
76,8,1,295,35
77,8,1,299,83
78,8,1,299,175
79,8,1,303,119
80,8,1,303,183
81,8,1,311,151
82,8,1,319,19
83,8,1,319,167
84,8,1,327,55
85,8,1,335,51
86,8,1,339,7
87,9,1,290,147
88,10,1,169,103
89,10,1,169,107
90,10,1,201,111
91,10,1,225,51
92,10,1,225,179
93,10,1,233,31
94,10,1,233,115
95,10,1,245,87
96,10,1,261,111
97,10,1,261,115
98,10,1,269,175
99,10,1,289,31
100,10,1,289,111
101,10,1,297,43
102,10,1,305,99
103,10,1,309,175
104,10,1,313,31
105,10,1,313,87
