,kernel,layer,x,y
0,0,1,162,17
1,0,1,206,113
2,1,1,37,95
3,1,1,37,143
4,1,1,37,155
5,1,1,49,111
6,1,1,77,103
7,1,1,77,123
8,1,1,81,51
9,1,1,85,155
10,1,1,89,111
11,1,1,93,143
12,1,1,97,99
13,1,1,101,87
14,1,1,101,183
15,1,1,113,103
16,1,1,141,135
17,1,1,149,135
18,1,1,153,107
19,1,1,153,171
20,1,1,157,119
21,1,1,165,111
22,1,1,189,111
23,1,1,189,147
24,1,1,197,203
25,1,1,209,123
26,1,1,277,139
27,2,1,55,35
28,2,1,107,99
29,2,1,111,11
30,2,1,111,59
31,2,1,111,135
32,2,1,127,103
33,2,1,135,79
34,2,1,147,107
35,2,1,159,147
36,2,1,163,111
37,2,1,167,55
38,2,1,167,147
39,2,1,175,119
40,2,1,183,111
41,2,1,187,83
42,2,1,191,119
43,3,1,92,175
44,3,1,112,11
45,3,1,120,19
46,3,1,120,23
47,3,1,120,27
48,3,1,136,123
49,3,1,160,155
50,4,1,50,154
51,4,1,62,126
52,4,1,66,26
53,4,1,78,30
54,4,1,82,134
55,4,1,82,170
56,4,1,86,182
57,4,1,94,38
58,4,1,94,90
59,4,1,98,182
60,4,1,114,142
61,4,1,138,174
62,4,1,146,106
63,4,1,162,22
64,4,1,162,46
65,4,1,166,54
66,4,1,166,162
67,4,1,170,78
68,4,1,174,146
69,4,1,178,66
70,4,1,178,166
71,4,1,182,62
72,4,1,202,94
73,4,1,206,6
74,4,1,206,162
75,4,1,206,182
76,4,1,206,190
77,4,1,206,198
78,4,1,214,74
79,5,1,63,112
80,5,1,63,116
81,5,1,67,164
82,5,1,79,180
83,5,1,83,176
84,5,1,87,160
85,5,1,87,184
86,5,1,95,116
87,5,1,99,108
88,5,1,103,40
89,5,1,107,100
90,5,1,123,96
91,5,1,163,16
92,5,1,183,108
93,5,1,191,24
94,5,1,195,28
95,6,1,58,124
96,6,1,94,80
97,6,1,150,92
98,7,1,30,97
99,7,1,150,137
100,7,1,150,177
101,7,1,230,69
102,8,1,31,123
103,8,1,43,87
104,8,1,47,95
105,8,1,55,139
106,8,1,55,143
107,8,1,103,107
108,8,1,103,111
109,8,1,111,147
110,8,1,123,143
111,8,1,131,155
112,8,1,139,95
113,8,1,147,183
114,8,1,175,191
115,8,1,179,115
116,9,1,62,119
117,9,1,94,95
118,9,1,98,35
119,9,1,130,87
120,9,1,130,95
121,9,1,134,139
122,9,1,178,75
123,10,1,37,3
124,10,1,53,7
125,10,1,77,23
126,10,1,77,27
127,10,1,77,47
128,10,1,77,87
129,10,1,85,79
130,10,1,85,119
131,10,1,85,163
132,10,1,121,19
133,10,1,129,107
134,10,1,133,139
135,10,1,169,143
136,10,1,177,67
137,10,1,181,19
138,10,1,193,187
139,10,1,201,171
140,10,1,221,75
141,10,1,229,171
142,10,1,257,171
143,11,1,119,92
144,11,1,167,4
145,11,1,179,20
146,11,1,235,52
147,12,1,85,98
148,12,1,117,102
149,12,1,185,10
150,12,1,281,146
151,13,1,29,170
152,13,1,33,2
153,13,1,53,130
154,13,1,69,170
155,13,1,81,134
156,13,1,81,174
157,13,1,85,50
158,13,1,85,182
159,13,1,93,90
160,13,1,113,142
161,13,1,121,94
162,13,1,125,22
163,13,1,137,94
164,13,1,137,174
165,13,1,145,106
166,13,1,149,178
167,13,1,153,50
168,13,1,161,110
169,13,1,165,102
170,13,1,165,162
171,13,1,173,22
172,13,1,173,146
173,13,1,177,166
174,13,1,177,170
175,13,1,185,10
176,13,1,185,14
177,13,1,197,206
178,13,1,201,6
179,13,1,205,198
180,13,1,233,70
181,13,1,245,158
182,13,1,265,150
183,13,1,281,146
184,14,1,74,174
185,14,1,82,50
186,14,1,210,202
187,14,1,278,138
188,14,1,282,154
189,15,1,45,163
190,15,1,61,127
191,15,1,69,187
192,15,1,81,135
193,15,1,85,187
194,15,1,97,179
195,15,1,173,35
196,15,1,173,111
197,15,1,185,31
198,15,1,189,35
199,16,1,30,90
200,16,1,50,154
201,16,1,54,34
202,16,1,70,42
203,16,1,74,26
204,16,1,78,34
205,16,1,78,82
206,16,1,78,178
207,16,1,82,174
208,16,1,86,42
209,16,1,94,94
210,16,1,98,58
211,16,1,102,102
212,16,1,106,26
213,16,1,110,142
214,16,1,114,142
215,16,1,126,102
216,16,1,134,122
217,16,1,138,94
218,16,1,146,106
219,16,1,146,142
220,16,1,146,162
221,16,1,150,178
222,16,1,154,138
223,16,1,158,154
224,16,1,158,182
225,16,1,162,22
226,16,1,162,110
227,16,1,162,170
228,16,1,166,54
229,16,1,174,146
230,16,1,178,94
231,16,1,178,126
232,16,1,178,166
233,16,1,186,174
234,16,1,198,30
235,16,1,202,6
236,16,1,202,94
237,16,1,206,6
238,16,1,206,114
239,16,1,206,126
240,16,1,206,162
241,16,1,214,74
242,16,1,218,74
243,16,1,234,70
244,16,1,282,146
245,16,1,290,154
246,17,1,85,128
247,17,1,189,112
248,18,1,51,84
249,18,1,55,92
250,18,1,103,84
251,18,1,159,12
252,18,1,179,92
253,18,1,187,84
254,18,1,199,80
255,18,1,247,164
256,18,1,247,172
257,19,1,80,82
258,19,1,84,78
259,19,1,96,106
260,19,1,188,194
261,19,1,280,138
262,20,1,36,24
263,20,1,76,24
264,20,1,100,104
265,20,1,108,104
266,20,1,112,92
267,20,1,116,88
268,20,1,184,60
269,20,1,212,28
270,20,1,224,12
271,20,1,232,48
272,20,1,252,152
273,21,1,46,144
274,21,1,62,124
275,21,1,178,4
276,21,1,206,8
277,21,1,206,184
278,22,1,63,33
279,22,1,87,113
280,22,1,95,57
281,22,1,103,101
282,22,1,131,109
283,22,1,131,113
284,22,1,163,45
