,kernel,layer,x,y
0,0,1,98,181
1,0,1,122,9
2,0,1,122,97
3,0,1,178,9
4,1,1,33,167
5,1,1,49,143
6,1,1,81,23
7,1,1,81,47
8,1,1,81,111
9,1,1,85,143
10,1,1,85,171
11,1,1,93,79
12,1,1,113,135
13,1,1,121,99
14,1,1,133,79
15,1,1,145,131
16,1,1,145,167
17,1,1,149,111
18,1,1,149,179
19,1,1,157,119
20,1,1,165,111
21,1,1,173,175
22,1,1,181,107
23,1,1,189,111
24,1,1,189,171
25,1,1,201,103
26,2,1,39,27
27,2,1,55,35
28,2,1,63,23
29,2,1,71,43
30,2,1,79,35
31,2,1,79,51
32,2,1,95,39
33,2,1,95,95
34,2,1,103,103
35,2,1,111,43
36,2,1,139,95
37,2,1,147,107
38,2,1,167,27
39,2,1,179,35
40,2,1,191,119
41,2,1,207,127
42,3,1,68,31
43,3,1,100,107
44,3,1,112,95
45,3,1,184,7
46,4,1,38,154
47,4,1,54,34
48,4,1,54,130
49,4,1,62,102
50,4,1,66,114
51,4,1,70,114
52,4,1,78,26
53,4,1,78,62
54,4,1,82,134
55,4,1,82,142
56,4,1,86,154
57,4,1,86,162
58,4,1,86,166
59,4,1,86,178
60,4,1,94,182
61,4,1,114,86
62,4,1,130,22
63,4,1,138,118
64,4,1,142,138
65,4,1,142,150
66,4,1,166,94
67,4,1,170,34
68,4,1,178,110
69,4,1,178,126
70,4,1,178,170
71,4,1,182,6
72,4,1,194,186
73,4,1,202,170
74,4,1,206,38
75,4,1,206,126
76,4,1,206,198
77,4,1,214,10
78,4,1,214,34
79,4,1,230,54
80,4,1,258,146
81,4,1,262,162
82,5,1,79,36
83,5,1,95,96
84,5,1,99,184
85,5,1,167,104
86,5,1,171,32
87,5,1,179,20
88,5,1,187,80
89,7,1,118,141
90,7,1,142,173
91,7,1,178,5
92,8,1,39,87
93,8,1,39,179
94,8,1,43,155
95,8,1,47,27
96,8,1,55,127
97,8,1,75,175
98,8,1,79,159
99,8,1,115,147
100,8,1,123,111
101,8,1,123,115
102,8,1,143,135
103,8,1,187,175
104,8,1,199,187
105,9,1,186,83
106,10,1,37,143
107,10,1,57,123
108,10,1,85,111
109,10,1,89,127
110,10,1,93,175
111,10,1,113,87
112,10,1,153,119
113,10,1,157,99
114,10,1,157,139
115,10,1,161,179
116,10,1,165,95
117,10,1,169,143
118,10,1,221,103
119,10,1,237,79
120,10,1,245,15
121,11,1,127,144
122,11,1,131,24
123,11,1,183,108
124,12,1,185,14
125,13,1,37,98
126,13,1,53,130
127,13,1,61,102
128,13,1,69,114
129,13,1,73,26
130,13,1,73,110
131,13,1,73,174
132,13,1,81,134
133,13,1,93,58
134,13,1,105,26
135,13,1,105,134
136,13,1,125,26
137,13,1,137,110
138,13,1,141,150
139,13,1,157,178
140,13,1,161,46
141,13,1,177,126
142,13,1,177,170
143,13,1,185,14
144,13,1,193,186
145,13,1,201,170
146,13,1,205,114
147,13,1,217,74
148,13,1,221,18
149,13,1,277,154
150,14,1,66,90
151,14,1,90,166
152,14,1,94,102
153,14,1,98,82
154,14,1,102,118
155,14,1,130,98
156,14,1,142,134
157,14,1,202,106
158,15,1,29,103
159,15,1,57,55
160,15,1,85,83
161,15,1,105,111
162,15,1,113,23
163,15,1,173,39
164,15,1,177,11
165,16,1,30,90
166,16,1,34,82
167,16,1,38,26
168,16,1,38,98
169,16,1,54,22
170,16,1,54,34
171,16,1,54,86
172,16,1,54,130
173,16,1,62,22
174,16,1,62,102
175,16,1,66,34
176,16,1,70,42
177,16,1,70,106
178,16,1,78,26
179,16,1,78,50
180,16,1,78,62
181,16,1,82,14
182,16,1,82,134
183,16,1,86,98
184,16,1,98,38
185,16,1,98,86
186,16,1,106,134
187,16,1,110,42
188,16,1,110,142
189,16,1,114,46
190,16,1,114,86
191,16,1,114,90
192,16,1,118,142
193,16,1,126,26
194,16,1,130,22
195,16,1,130,82
